,triple,score,label
0,"['covid-19', 'disease_symptom', 'covid-19']",-11.84210968,0
1,"['covid-19', 'disease_symptom', 'sars cov infection']",-12.3876915,0
2,"['covid-19', 'disease_symptom', 'pneumonia']",-12.39453506,1
3,"['covid-19', 'disease_symptom', 'enteritis']",-12.47272301,0
4,"['covid-19', 'disease_symptom', 'viral infection']",-12.6046772,0
5,"['covid-19', 'disease_symptom', 'injury']",-12.61877251,0
6,"['covid-19', 'disease_symptom', 'disease']",-12.62733078,0
7,"['covid-19', 'disease_symptom', 'tachypnea']",-12.64443207,0
8,"['covid-19', 'disease_symptom', 'infection']",-12.65396309,0
9,"['covid-19', 'disease_symptom', 'syndrome']",-12.65681648,0
10,"['covid-19', 'symptom_disease', 'covid-19']",-11.86061478,0
11,"['pneumonia', 'symptom_disease', 'covid-19']",-12.3332634,1
12,"['edema', 'symptom_disease', 'covid-19']",-12.4420166,0
13,"['viral pneumonia', 'symptom_disease', 'covid-19']",-12.44650459,0
14,"['sars cov infection', 'symptom_disease', 'covid-19']",-12.45199776,0
15,"['inflammation', 'symptom_disease', 'covid-19']",-12.46496773,0
16,"['respiratory failure', 'symptom_disease', 'covid-19']",-12.49610138,1
17,"['severe', 'symptom_disease', 'covid-19']",-12.51149654,0
18,"['tachypnea', 'symptom_disease', 'covid-19']",-12.5224123,0
19,"['lung', 'symptom_disease', 'covid-19']",-12.5274868,0
