,triple,score,label
0,"['covid-19', 'disease_symptom', 'wupyv']",-16.28628159,0
1,"['covid-19', 'disease_symptom', 'covid-19']",-16.46774483,0
2,"['covid-19', 'disease_symptom', 'varicella pneumonia']",-16.56205559,1
3,"['covid-19', 'disease_symptom', 'chilliness']",-16.62810898,1
4,"['covid-19', 'disease_symptom', 'orthostatic hypotension']",-16.64402771,0
5,"['covid-19', 'disease_symptom', 'gingivostomatitis']",-16.64564896,0
6,"['covid-19', 'disease_symptom', 'prostatitis']",-16.64708138,0
7,"['covid-19', 'disease_symptom', 'tgev infection']",-16.76577377,0
8,"['covid-19', 'disease_symptom', 'acute cough']",-16.78406715,1
9,"['covid-19', 'disease_symptom', 'pulmonary damage']",-16.81981087,0
10,"['high', 'symptom_disease', 'covid-19']",-14.35313129,0
11,"['loss of appetite', 'symptom_disease', 'covid-19']",-14.80259132,0
12,"['tachypnea', 'symptom_disease', 'covid-19']",-14.80900574,0
13,"['severe', 'symptom_disease', 'covid-19']",-14.85601616,0
14,"['same', 'symptom_disease', 'covid-19']",-14.91147709,0
15,"['lung injury', 'symptom_disease', 'covid-19']",-14.91912937,0
16,"['respiratory distress syndrome', 'symptom_disease', 'covid-19']",-14.99637032,0
17,"['acute respiratory distress syndrome', 'symptom_disease', 'covid-19']",-15.01889801,0
18,"['2009', 'symptom_disease', 'covid-19']",-15.02063179,0
19,"['condition', 'symptom_disease', 'covid-19']",-15.08964062,0
