,triple,score,label
0,"['covid-19', 'disease_treat_procedure', 'wupyv']",-19.86146164,0
1,"['covid-19', 'disease_treat_procedure', 'myopericarditis']",-20.186306,0
2,"['covid-19', 'disease_treat_procedure', 'sinus disease']",-20.24672699,0
3,"['covid-19', 'disease_treat_procedure', 'hypereosinophilia']",-20.31166077,0
4,"['covid-19', 'disease_treat_procedure', 'hypercholesterolemia']",-20.39168358,0
5,"['covid-19', 'disease_treat_procedure', 'idu']",-20.41944885,0
6,"['covid-19', 'disease_treat_procedure', 'hypercortisolemia']",-20.431427,0
7,"['covid-19', 'disease_treat_procedure', 'intrauterine infection']",-20.50491142,0
8,"['covid-19', 'disease_treat_procedure', 'osteonecrosis']",-20.51205063,0
9,"['covid-19', 'disease_treat_procedure', 'chylous effusion']",-20.56228638,0
10,"['2009', 'treat_procedure_disease', 'covid-19']",-17.87283707,0
11,"['long', 'treat_procedure_disease', 'covid-19']",-17.95780373,0
12,"['major', 'treat_procedure_disease', 'covid-19']",-18.00149155,0
13,"['community', 'treat_procedure_disease', 'covid-19']",-18.24050331,0
14,"['enhanced', 'treat_procedure_disease', 'covid-19']",-18.27654076,0
15,"['high', 'treat_procedure_disease', 'covid-19']",-18.36276245,0
16,"['ventilator', 'treat_procedure_disease', 'covid-19']",-18.41802406,0
17,"['face', 'treat_procedure_disease', 'covid-19']",-18.47196579,0
18,"['pandemic', 'treat_procedure_disease', 'covid-19']",-18.49689102,0
19,"['vili', 'treat_procedure_disease', 'covid-19']",-18.50815201,0
