,triple,score
0,"['covid-19', 'disease_species', 'malaria parasite']",-15.650991439819336
1,"['covid-19', 'disease_species', 'leishmaniosis']",-15.844559669494629
2,"['covid-19', 'disease_species', 'acquired immunodeficiency syndrome']",-15.954704284667969
3,"['covid-19', 'disease_species', 'sars coronavirus']",-16.201507568359375
4,"['covid-19', 'disease_species', 'rotavirus infection']",-16.21334457397461
5,"['covid-19', 'disease_species', 'endocarditis']",-16.3387451171875
6,"['covid-19', 'disease_species', 'h9n2']",-16.351917266845703
7,"['covid-19', 'disease_species', 'coronavirus']",-16.395790100097656
8,"['covid-19', 'disease_species', 'noroviruses']",-16.436384201049805
9,"['covid-19', 'disease_species', 'cryptosporidiosis']",-16.462419509887695
10,"['covid-19', 'disease_species', 'rotavirus']",-16.511764526367188
11,"['covid-19', 'disease_species', 'influenza virus infection']",-16.52594757080078
12,"['covid-19', 'disease_species', 'latent infection']",-16.535249710083008
13,"['covid-19', 'disease_species', 'coronaviruses']",-16.55129051208496
14,"['covid-19', 'disease_species', 'influenza infection']",-16.55367088317871
15,"['covid-19', 'disease_species', 'fungal infection']",-16.559741973876953
16,"['covid-19', 'disease_species', 'fiv']",-16.578205108642578
17,"['covid-19', 'disease_species', 'h5n1 influenza virus']",-16.60797882080078
18,"['covid-19', 'disease_species', 'virus']",-16.61003875732422
19,"['covid-19', 'disease_species', 'vaccine']",-16.620555877685547
