,triple,score
0,"['covid-19', 'disease_species', 'fungal infection']",-17.32895278930664
1,"['covid-19', 'disease_species', 'ccv']",-17.361984252929688
2,"['covid-19', 'disease_species', 'coronaviruses']",-17.41480255126953
3,"['covid-19', 'disease_species', 'felv infection']",-17.431560516357422
4,"['covid-19', 'disease_species', 'viral respiratory infection']",-17.485092163085938
5,"['covid-19', 'disease_species', 'prcv']",-17.53229522705078
6,"['covid-19', 'disease_species', 'parasitic zoonosis']",-17.562625885009766
7,"['covid-19', 'disease_species', 'papillomatosis']",-17.586605072021484
8,"['covid-19', 'disease_species', 'piv infection']",-17.700902938842773
9,"['covid-19', 'disease_species', 'virus']",-17.745807647705078
10,"['covid-19', 'disease_species', 'hydrocephalus']",-17.797466278076172
11,"['covid-19', 'disease_species', 'rtis']",-17.80040740966797
12,"['covid-19', 'disease_species', 'acute respiratory symptom']",-17.829883575439453
13,"['covid-19', 'disease_species', 'hendra virus']",-17.836597442626953
14,"['covid-19', 'disease_species', 'sars coronavirus']",-17.86522674560547
15,"['covid-19', 'disease_species', 'subclinical infection']",-17.890466690063477
16,"['covid-19', 'disease_species', 'incurable disease']",-17.908782958984375
17,"['covid-19', 'disease_species', 'influenza related disease']",-17.914030075073242
18,"['covid-19', 'disease_species', 'mycoplasma infection']",-17.935413360595703
19,"['covid-19', 'disease_species', 'tc']",-17.946399688720703
