,triple,score,label
0,"['covid-19', 'disease_symptom', 'anosmia']",-13.51861954,1
1,"['covid-19', 'disease_symptom', 'pain']",-13.5209446,1
2,"['covid-19', 'disease_symptom', 'ili']",-13.55490589,0
3,"['covid-19', 'disease_symptom', 'asthmatic']",-13.58866692,0
4,"['covid-19', 'disease_symptom', 'diarrhea']",-13.61343479,1
5,"['covid-19', 'disease_symptom', 'fever']",-13.81455421,1
6,"['covid-19', 'disease_symptom', 'clinical syndrome']",-13.81863594,0
7,"['covid-19', 'disease_symptom', 'he']",-13.84732437,0
8,"['covid-19', 'disease_symptom', 'nausea']",-13.89429855,1
9,"['covid-19', 'disease_symptom', 'headache']",-13.90413857,1
10,"['influenza epidemic', 'symptom_disease', 'covid-19']",-13.01886654,0
11,"['hospital acquired infection', 'symptom_disease', 'covid-19']",-13.0700016,0
12,"['cough', 'symptom_disease', 'covid-19']",-13.08046341,1
13,"['pain', 'symptom_disease', 'covid-19']",-13.2032938,1
14,"['headache', 'symptom_disease', 'covid-19']",-13.28456402,1
15,"['epidemic', 'symptom_disease', 'covid-19']",-13.29187107,0
16,"['nausea', 'symptom_disease', 'covid-19']",-13.31441021,1
17,"['acute respiratory syndrome', 'symptom_disease', 'covid-19']",-13.32676029,0
18,"['fatigue', 'symptom_disease', 'covid-19']",-13.3410635,1
19,"['syndrome', 'symptom_disease', 'covid-19']",-13.49152184,0
