,triple,score,label
0,"['covid-19', 'disease_treat_procedure', 'dt']",-16.37568283,0
1,"['covid-19', 'disease_treat_procedure', 'recruitment']",-16.48843193,0
2,"['covid-19', 'disease_treat_procedure', 'blood']",-16.52043152,0
3,"['covid-19', 'disease_treat_procedure', 'rna']",-16.63290405,0
4,"['covid-19', 'disease_treat_procedure', 'vaccine']",-16.65128899,0
5,"['covid-19', 'disease_treat_procedure', 'he']",-16.67022324,0
6,"['covid-19', 'disease_treat_procedure', 'covid-19']",-16.73508453,0
7,"['covid-19', 'disease_treat_procedure', 'viral']",-16.80560684,0
8,"['covid-19', 'disease_treat_procedure', 'fluid']",-16.84431839,0
9,"['covid-19', 'disease_treat_procedure', 'kidney injury']",-16.8795433,0
10,"['blood', 'treat_procedure_disease', 'covid-19']",-15.60341549,0
11,"['critical', 'treat_procedure_disease', 'covid-19']",-15.76200867,0
12,"['fluid', 'treat_procedure_disease', 'covid-19']",-15.83400822,0
13,"['cytokine storm', 'treat_procedure_disease', 'covid-19']",-15.83735275,0
14,"['ar', 'treat_procedure_disease', 'covid-19']",-15.86948013,0
15,"['th1', 'treat_procedure_disease', 'covid-19']",-15.97848797,0
16,"['influenza a infection', 'treat_procedure_disease', 'covid-19']",-16.07037926,0
17,"['lung', 'treat_procedure_disease', 'covid-19']",-16.09251022,0
18,"['recruitment', 'treat_procedure_disease', 'covid-19']",-16.16609192,0
19,"['anaesthesia', 'treat_procedure_disease', 'covid-19']",-16.17037582,0
