,triple,score,label
0,"['covid-19', 'disease_species', 'influenza virus infection']",-16.12695694,0
1,"['covid-19', 'disease_species', 'pf']",-16.28908157,0
2,"['covid-19', 'disease_species', 'noroviruses']",-16.37970734,0
3,"['covid-19', 'disease_species', 'avian influenza virus']",-16.38825989,0
4,"['covid-19', 'disease_species', 'zaire ebolavirus']",-16.4037571,0
5,"['covid-19', 'disease_species', 'influenza virus']",-16.44852448,0
6,"['covid-19', 'disease_species', 'paramyxovirus']",-16.46107292,0
7,"['covid-19', 'disease_species', 'felv']",-16.4641552,0
8,"['covid-19', 'disease_species', 'coronaviruses']",-16.50852776,0
9,"['covid-19', 'disease_species', 'co-infections']",-16.54391479,0
10,"['covid-19', 'disease_species', 'felv infection']",-16.6083107,0
11,"['covid-19', 'disease_species', 'bunyavirus']",-16.61192322,0
12,"['covid-19', 'disease_species', 'h1n1']",-16.61317062,0
13,"['covid-19', 'disease_species', 'coronavirus']",-16.62259674,0
14,"['covid-19', 'disease_species', 'pedv']",-16.62942505,0
15,"['covid-19', 'disease_species', 'infection']",-16.67113876,0
16,"['covid-19', 'disease_species', 'influenza infection']",-16.72758484,0
17,"['covid-19', 'disease_species', 'rsv']",-16.76100922,0
18,"['covid-19', 'disease_species', 'mers']",-16.76976204,0
19,"['covid-19', 'disease_species', 'progressive disease']",-16.78594589,0
