,triple,score,label
0,"['covid-19', 'disease_symptom', 'enteritis']",-13.80348778,0
1,"['covid-19', 'disease_symptom', 'cryptosporidiosis']",-13.87694168,0
2,"['covid-19', 'disease_symptom', 'prostatitis']",-13.99759865,0
3,"['covid-19', 'disease_symptom', 'pid']",-14.1931591,0
4,"['covid-19', 'disease_symptom', 'acidosis']",-14.29215717,0
5,"['covid-19', 'disease_symptom', 'chronic peritonitis']",-14.34050941,0
6,"['covid-19', 'disease_symptom', 'salmonellosis']",-14.36677647,0
7,"['covid-19', 'disease_symptom', 'infection']",-14.43159962,0
8,"['covid-19', 'disease_symptom', 'cardiovascular complication']",-14.43460274,0
9,"['covid-19', 'disease_symptom', 'virus']",-14.44187927,0
10,"['protein losing enteropathy', 'symptom_disease', 'covid-19']",-13.72116375,0
11,"['loss of appetite', 'symptom_disease', 'covid-19']",-13.84358788,0
12,"['unwell', 'symptom_disease', 'covid-19']",-14.00626945,0
13,"['same', 'symptom_disease', 'covid-19']",-14.07710266,0
14,"['diarrhea 9', 'symptom_disease', 'covid-19']",-14.23040199,1
15,"['soft', 'symptom_disease', 'covid-19']",-14.26833916,0
16,"['blood', 'symptom_disease', 'covid-19']",-14.27218437,0
17,"['severe', 'symptom_disease', 'covid-19']",-14.31618309,0
18,"['enhanced', 'symptom_disease', 'covid-19']",-14.51627541,0
19,"['hospital acquired infection', 'symptom_disease', 'covid-19']",-14.55843163,0
