,triple,score,label
0,"['covid-19', 'disease_drug', 'virus']",-15.81574631,0
1,"['covid-19', 'disease_drug', 'pandemic h1n1 virus']",-15.86627197,0
2,"['covid-19', 'disease_drug', 'serotypes']",-15.88701057,0
3,"['covid-19', 'disease_drug', 'mpyv']",-16.01464081,0
4,"['covid-19', 'disease_drug', 'rna']",-16.10194206,0
5,"['covid-19', 'disease_drug', 'disease progression']",-16.15962029,0
6,"['covid-19', 'disease_drug', 'infection']",-16.17559052,0
7,"['covid-19', 'disease_drug', 'feline panleukopenia']",-16.19139862,0
8,"['covid-19', 'disease_drug', 'pdc']",-16.19188309,0
9,"['covid-19', 'disease_drug', 'neuropathy']",-16.19433022,0
10,"['2009', 'drug_disease', 'covid-19']",-16.83999062,0
11,"['blood', 'drug_disease', 'covid-19']",-17.28113937,0
12,"['critical', 'drug_disease', 'covid-19']",-17.35589409,0
13,"['soft', 'drug_disease', 'covid-19']",-17.494133,0
14,"['bronchospasm', 'drug_disease', 'covid-19']",-17.59410286,0
15,"['transmissible gastroenteritis virus of swine', 'drug_disease', 'covid-19']",-17.59911156,0
16,"['enveloped virus', 'drug_disease', 'covid-19']",-17.67282104,0
17,"['1918', 'drug_disease', 'covid-19']",-17.7339325,0
18,"['inflammatory', 'drug_disease', 'covid-19']",-17.73761559,0
19,"['enhanced', 'drug_disease', 'covid-19']",-17.77132988,0
