,query_6
0,middle east respiratory syndrome
1,sars cov
2,epidemic
3,mental health
4,respiratory disease
5,public
6,fever
7,infectious peritonitis virus
8,respiratory illness
9,psychological distress
10,headache
11,pneumonia
12,community
13,ibv
14,distress syndrome
15,lung
16,disease
17,lymphocytopenia
18,virus
19,central nervous system infection
20,mhv
21,inflammation
22,immunopathology
23,viral illness
24,229e
25,peritonitis virus
26,coagulopathy
27,coronaviruses
28,clotting disorder
29,respiratory syndrome
30,nervous system infection
31,obesity
32,olfactory dysfunction
33,dysfunction
34,disorder
35,hepatitis e virus
36,acute respiratory distress syndrome
37,gb
38,ali
39,diarrhoea
40,hcw
41,pandemic
42,feline infectious peritonitis virus
43,injury
44,infectious disease
45,acute respiratory syndrome
46,lymphopenia
47,respiratory distress syndrome
48,throat infection
49,viral infection
50,syndrome
51,infection
52,viral respiratory illness
53,type
54,jhmv
