,query_6
0,malaise
1,gyrovirus
2,thrombosis
3,feline immunodeficiency virus
4,dysfunction
5,viral infection
6,distress syndrome
7,fipv
8,retinal degeneration
9,disease
10,uterus
11,cat
12,renal injury
13,cov
14,syndrome
15,olfactory dysfunction
16,virus
17,injury
18,headache
19,feline infectious peritonitis virus
20,229e
21,h1n1 influenza
22,diarrhea
23,hepatitis e virus
24,granulomatous disease
25,epidemic
26,cdc
27,asymptomatic infection
28,2009
29,acute respiratory infection
30,nervous system infection
31,psychological distress
32,immunopathology
33,viral
34,acute respiratory distress syndrome
35,respiratory syndrome
36,clotting disorder
37,he
38,infectious peritonitis virus
39,skin lesion
40,encephalitis
41,direct infection
42,community
43,lymphocytopenia
44,gb
45,anosmia
46,viral illness
47,bocavirus
48,public
49,viral disease
50,respiratory illness
51,middle east respiratory syndrome
52,pandemic
53,clinical syndrome
54,epidemic disease
55,systemic granulomatous disease
56,influenza a
57,h1n1 swine flu
58,ct
59,peritonitis virus
60,infectious bronchitis virus
61,central nervous system infection
62,rna
63,acute kidney injury
64,bovine viral diarrhea virus
65,diarrhoea
66,viral respiratory illness
67,infection
68,hepatic injury
69,influenza
70,immunodeficiency virus
71,leukopenia
72,type
73,mhv
74,respiratory distress syndrome
75,necrosis
76,respiratory disease
77,lung damage
78,vaccine
79,shipping fever
80,sars cov
81,coronaviruses
82,cns
83,emerging infectious disease
84,kidney injury
85,sars cov infection
86,fip
87,pneumonia
88,rsv
89,throat infection
90,diabetes
91,myocarditis
92,sars coronavirus
93,acute respiratory syndrome
94,cardiovascular complication
95,cytokine release syndrome
96,fever
97,systemic disease
98,hcw
99,coagulopathy
100,jhmv
101,disorder
102,dmvs
103,transmissible gastroenteritis coronavirus
104,public health
105,respiratory virus
106,diabetic
107,ibv
108,stroke
109,lung
110,degeneration
111,bovine diarrhea virus
112,ali
113,mers
114,aspergillosis
115,gastrointestinal symptom
116,ccv
117,pulmonary aspergillosis
118,lymphopenia
119,inflammation
120,infectious disease
121,rhinovirus
122,obesity
123,mental health
124,viral respiratory disease
125,dad
126,ards
127,illness
128,tb
