,query_2,label
0,disease progression,0
1,pandemic,0
2,lung injury,0
3,viral,0
4,acute respiratory syndrome,0
5,disease,0
6,respiratory syndrome,0
7,viral respiratory illness,0
8,severe acute respiratory syndrome coronavirus,0
9,infection,0
10,he,0
11,syndrome,0
12,lung,0
13,acute respiratory syndrome coronavirus 2,0
14,virus,0
15,deltacoronavirus,0
16,contagious disease,0
17,respiratory disease,0
18,transmissible porcine gastroenteritis,0
19,gastroenteritis,0
20,inflammation,0
21,infectious disease,0
22,acute respiratory illness,0
23,emerging infectious disease,0
24,severe acute respiratory syndrome coronavirus 2,0
25,viral illness,0
26,sars cov infection,0
27,acute illness,0
28,respiratory illness,0
29,transmissible gastroenteritis,0
