,query_6
0,ards
1,rsv
2,feline infectious peritonitis virus
3,aspergillosis
4,sinus node dysfunction
5,thrombosis
6,respiratory syndrome
7,systemic disease
8,h1n1 swine flu
9,nervous system infection
10,myocardial injury
11,vaccine
12,cold
13,coronavirus disease
14,anosmia
15,viral respiratory disease
16,infection
17,encephalopathy
18,dysfunction
19,epidemic
20,influenza a
21,emerging infectious disease
22,fip
23,type
24,public health
25,cns
26,rna
27,clinical deterioration
28,myocarditis
29,diarrhoea
30,viral infection
31,viral disease
32,mhv
33,urticaria
34,image
35,lung damage
36,alveolar damage
37,cardiovascular disease
38,renal injury
39,pulmonary aspergillosis
40,he
41,skin lesion
42,mental health
43,mers
44,viral
45,coronaviruses
46,lymphopenia
47,ccv
48,immunodeficiency virus
49,central nervous system infection
50,hepatic injury
51,cancer
52,panic
53,peritonitis virus
54,respiratory tract infection
55,systemic granulomatous disease
56,community
57,dad
58,bovine viral diarrhea virus
59,cardiac injury
60,epidemic disease
61,injury
62,distress syndrome
63,respiratory disease
64,sars cov
65,pneumonia
66,respiratory virus
67,gb
68,ali
69,olfactory dysfunction
70,pandemic
71,cardiomyopathy
72,syndrome
73,diabetes
74,diffuse alveolar damage
75,pe
76,bocavirus
77,229e
78,infectious disease
79,feline immunodeficiency virus
80,obesity
81,infectious bronchitis virus
82,shipping fever
83,betacoronavirus
84,acute respiratory distress syndrome
85,necrosis
86,cat
87,vasculitis
88,kidney injury
89,influenza
90,diabetic
91,granulomatous disease
92,clotting disorder
93,coagulopathy
94,gastrointestinal symptom
95,hcw
96,viral illness
97,ibv
98,psychological distress
99,illness
100,jhmv
101,cutaneous vasculitis
102,sars cov infection
103,middle east respiratory syndrome
104,cdc
105,nose
106,tb
107,respiratory illness
108,encephalitis
109,disorder
110,same
111,clinical syndrome
112,acute respiratory syndrome
113,cardiovascular complication
114,leukopenia
115,inflammation
116,throat infection
117,acute kidney injury
118,fipv
119,asymptomatic infection
120,uterus
121,fever
122,immunopathology
123,virus
124,respiratory distress syndrome
125,nipah virus
126,renal impairment
127,stroke
128,gyrovirus
129,acute covid-19ry syndrome
130,acute respiratory infection
131,hypertension
132,om
133,dmvs
134,lung
135,anxiety
136,h1n1 influenza
137,ct
138,regression
139,kawasaki disease
140,face
141,cytokine release syndrome
142,retinal degeneration
143,degeneration
144,infectious peritonitis virus
145,headache
146,lu
147,cytokine storm
148,disease
149,viral respiratory illness
150,hepatitis e virus
151,aki
152,malaise
153,rhinovirus
154,diarrhea
155,sars coronavirus
156,bovine diarrhea virus
157,lymphocytopenia
158,direct infection
159,2009
160,cov
161,public
162,transmissible gastroenteritis coronavirus
