,query_1,label
0,ace2,0
1,macrodomain,0
2,impact,0
3,oc43,0
4,war,0
5,nl63,0
6,receptor,0
7,mpro,0
8,ntd,0
9,antibody,0
10,ttsps,0
11,orfx,0
12,antigen,0
13,cathepsin l,0
14,envelope,1
15,nsp15,0
16,body,0
17,spike protein,1
18,toll,0
19,papr,0
20,dpp4,0
21,rr,0
22,pattern,0
23,hong kong,0
24,ga,0
25,sirna,0
26,glycoprotein,0
27,light,0
28,aim,0
29,class,0
30,nucleic acid,0
31,platelet,0
32,cd13,0
33,damage,0
34,homology,0
35,plpro,0
36,protein e,1
37,ifn,0
38,host,0
39,protein,0
40,ccr5,0
41,interferon,0
42,nlrp3,0
43,plasma,0
44,12,0
45,coronavirus e protein,1
46,zbcov,0
47,hku1,0
48,lab,0
49,ddx1,0
50,n protein,1
51,s protein,1
52,basc,0
