,query_6
0,respiratory infection
1,coronaviruses
2,acute respiratory syndrome coronavirus
3,pulmonary aspergillosis
4,nasal discharge
5,acute disease
6,respiratory infectious disease
7,nervous system infection
8,respiratory tract infection
9,h1n1
10,illness
11,icu
12,infectious
13,dmvs
14,community
15,feline immunodeficiency virus
16,virus
17,shipping fever
18,covid pandemic
19,emerging disease
20,kobuvirus
21,hiv
22,lymphopenia
23,uterus
24,middle east respiratory syndrome
25,sepsis
26,sars epidemic
27,fatal
28,hypercoagulable state
29,coagulopathy
30,acute respiratory infection
31,obesity
32,lung disease
33,distress syndrome
34,fip
35,systemic disease
36,asymptomatic infection
37,cov
38,viral disease
39,viral illness
40,plan
41,immunodeficiency virus
42,adenovirus
43,vaccine
44,retinal degeneration
45,granulomatous disease
46,atypical pneumonia
47,leukopenia
48,epidemic disease
49,pulmonary syndrome
50,enveloped virus
51,hepatitis e virus
52,gb
53,ebola virus
54,acute kidney injury
55,h5n1 influenza
56,degeneration
57,necrosis
58,respiratory disease
59,bocavirus
60,virus disease
61,fever
62,feline infectious peritonitis
63,nosocomial infection
64,pandemic influenza
65,hypoxemic failure
66,astrovirus
67,acute respiratory syndrome coronavirus 2
68,ct
69,gyrovirus
70,respiratory virus infection
71,acute respiratory distress syndrome
72,viral respiratory illness
73,pleural effusion
74,respiratory distress syndrome
75,acute respiratory disease
76,headache
77,conjunctivitis
78,mental health
79,infectious peritonitis virus
80,rhinovirus
81,health problem
82,communicable disease
83,systemic infection
84,clotting disorder
85,gastrointestinal symptom
86,lower respiratory infection
87,viral respiratory disease
88,coronavirus disease
89,ards
90,infectious peritonitis
91,tract infection
92,viral pneumonia
93,acute
94,malignancy
95,central nervous system infection
96,mp
97,thrombosis
98,severe
99,contagious disease
100,aspergillosis
101,contagious
102,systemic granulomatous disease
103,inflammation
104,transmissible gastroenteritis coronavirus
105,influenza virus
106,feline infectious peritonitis virus
107,ibv
108,middle east respiratory syndrome coronavirus
109,hemagglutinating encephalomyelitis virus
110,respiratory failure
111,chronic disease
112,stroke
113,bovine viral diarrhea virus
114,peritonitis
115,sars coronavirus
116,acute respiratory failure
117,cns
118,diarrhoea
119,hepatic injury
120,virus associated
121,olfactory dysfunction
122,hcw
123,emerging infectious disease
124,mers
125,syndrome
126,infectious disease
127,neurologic disorder
128,disease caused by virus
129,psychological distress
130,rna
131,cold
132,influenza b
133,encephalitis
134,viral infection
135,face
136,cytokine release syndrome
137,infection
138,ground glass opacity
139,pneumonia
140,syndrome coronavirus
141,rhinovirus infection
142,alphacoronavirus 1
143,lymphocytopenia
144,kidney injury
145,flu
146,nose
147,rna virus
148,influenza a
149,cdc
150,mhv
151,throat infection
152,skin lesion
153,depression
154,respiratory syndrome
155,viral lung disease
156,infectious illness
157,epidemic
158,human virus
159,emerging
160,aki
161,rotavirus
162,viral
163,pandemic
164,lung damage
165,sars cov
166,tb
167,common cold
168,respiratory distress
169,2009
170,fipv
171,gastroenteritis virus
172,severe acute respiratory syndrome coronavirus
173,lung
174,infectious bronchitis virus
175,public health
176,peritonitis virus
177,cortex
178,human coronavirus
179,secondary infection
180,ali
181,immunopathology
182,high fever
183,respiratory illness
184,mouse hepatitis virus
185,dysfunction
186,coronavirus infection
187,myocarditis
188,229e
189,respiratory
190,respiratory virus
191,type
192,influenza
193,bovine diarrhea virus
194,injury
195,diarrhea
196,coronavirus outbreak
197,direct infection
198,rsv
199,myocardial injury
200,clinical syndrome
201,fatigue
202,renal failure
203,cr
204,jhmv
205,hypoxemic respiratory failure
206,alveolar damage
207,acute respiratory syndrome
208,sars cov infection
209,respiratory syndrome coronavirus
210,adrenal insufficiency
211,malaise
212,neurological disorder
213,zoonotic disease
214,public
215,transmissible
216,disorder
217,respiratory viral disease
218,scov
219,he
220,dad
221,ccv
222,cat
223,h1n1 influenza
224,disease
