,query_1
0,nlrp3
1,cooper
2,antibody
3,tbk1
4,homology
5,tmprss2
6,ace2 receptor
7,set
8,ceacam1a
9,class
10,ntd
11,s protein
12,orfx
13,ddx1
14,cd13
15,rest
16,stigma
17,cathepsin l
18,hku1
19,plpro
20,pattern
21,damage
22,war
23,nl63
24,light
25,ifn
26,plp2
27,small
28,plps
29,men
30,glycoprotein
31,get
32,ccr5
33,nsp15
34,end
35,gse17400
36,impact
37,m protein ectodomain
38,n protein
39,ttsps
40,body
41,wave
42,pro-inflammatory
43,s2 subunit
44,papr
45,fusion
46,ifns
47,oc43
48,coronavirus s protein
49,autophagy
50,ace2
51,basc
52,rr
53,envelope
54,ga
55,human
56,envelope protein
57,dpp4
58,interferon
59,zbcov
60,host
61,protein
62,aim
63,bthku9
64,trade
65,mpro
66,genome
67,hong kong
68,hla
