,triple,score,label
0,"['covid-19', 'disease_gene', 'virus']",-15.92206764,0
1,"['covid-19', 'disease_gene', 'rna']",-16.04683685,0
2,"['covid-19', 'disease_gene', 'rbd']",-16.35240173,0
3,"['covid-19', 'disease_gene', 'rna virus']",-16.70211411,0
4,"['covid-19', 'disease_gene', 'vaccine']",-16.79667282,0
5,"['covid-19', 'disease_gene', 'viral infection']",-16.84030914,0
6,"['covid-19', 'disease_gene', 'infection']",-16.96831131,0
7,"['covid-19', 'disease_gene', 'dmvs']",-17.05149078,0
8,"['covid-19', 'disease_gene', 'recombinant virus']",-17.09369469,0
9,"['covid-19', 'disease_gene', 'np']",-17.15032387,0
10,"['critical', 'gene_disease', 'covid-19']",-16.27892494,0
11,"['rna', 'gene_disease', 'covid-19']",-16.49410629,0
12,"['2009', 'gene_disease', 'covid-19']",-16.59182358,0
13,"['virus', 'gene_disease', 'covid-19']",-16.89261818,0
14,"['viral infection', 'gene_disease', 'covid-19']",-17.01520729,0
15,"['lower', 'gene_disease', 'covid-19']",-17.02763748,0
16,"['recruitment', 'gene_disease', 'covid-19']",-17.19629669,0
17,"['infection', 'gene_disease', 'covid-19']",-17.319561,0
18,"['cns', 'gene_disease', 'covid-19']",-17.32495689,0
19,"['same', 'gene_disease', 'covid-19']",-17.35183907,0
