,triple,score,label
0,"['covid-19', 'disease_symptom', 'covid-19']",-12.07109451,0
1,"['covid-19', 'disease_symptom', 'pneumonia']",-12.52863312,1
2,"['covid-19', 'disease_symptom', 'syndrome']",-12.79598713,0
3,"['covid-19', 'disease_symptom', 'pandemic']",-12.81920815,0
4,"['covid-19', 'disease_symptom', 'viral infection']",-12.82505703,0
5,"['covid-19', 'disease_symptom', 'sars cov infection']",-12.83898544,0
6,"['covid-19', 'disease_symptom', 'condition']",-12.86707878,0
7,"['covid-19', 'disease_symptom', 'disease']",-12.92596149,0
8,"['covid-19', 'disease_symptom', 'infection']",-12.95528126,0
9,"['covid-19', 'disease_symptom', 'type']",-12.98867607,0
10,"['covid-19', 'symptom_disease', 'covid-19']",-12.15314865,0
11,"['pneumonia', 'symptom_disease', 'covid-19']",-12.36866951,1
12,"['viral pneumonia', 'symptom_disease', 'covid-19']",-12.68683434,1
13,"['pandemic', 'symptom_disease', 'covid-19']",-12.69226265,0
14,"['lung', 'symptom_disease', 'covid-19']",-12.69984818,0
15,"['hypoxia', 'symptom_disease', 'covid-19']",-12.73255825,1
16,"['condition', 'symptom_disease', 'covid-19']",-12.73330498,0
17,"['distress syndrome', 'symptom_disease', 'covid-19']",-12.80504608,0
18,"['obstruction', 'symptom_disease', 'covid-19']",-12.8300724,0
19,"['respiratory distress syndrome', 'symptom_disease', 'covid-19']",-12.83823586,0
