,query_2
0,barotraumas
1,cheetah
2,monkey
3,epidemic disease
4,ards
5,gyrovirus
6,pneumonia
7,sars cov
8,atrophy
9,enteric coronavirus
10,ade
11,fcovs
12,hamster
13,febrile respiratory illness
14,lion
15,hcw
16,severe acute respiratory syndrome coronavirus
17,working
18,s. pneumoniae
19,cdc
20,feline coronavirus
21,respiratory disease
22,sars cov infection
23,epidemic hemorrhagic fever
24,middle east respiratory syndrome coronavirus
25,rna
26,lymphopenia
27,lung injury
28,ca
29,influenza
30,inflammation
31,hyperplasia
32,acute respiratory syndrome coronavirus 2
33,pulmonary damage
34,e. coli
35,covid pandemic
36,swine flu
37,flu
38,infectious respiratory disease
39,ph1n1
40,mouse
41,neutropenia
42,fmdv
43,camel
44,respiratory syndrome
45,woman
46,upper respiratory illness
47,community
48,infectious peritonitis
49,lung damage
50,pig
51,horseshoe bat
52,child
53,middle east respiratory syndrome
54,avian influenza
55,tracheal
56,febrile neutropenia
57,deltacoronavirus
58,cov
59,respiratory infection
60,renal failure
61,acute respiratory syndrome
62,ilis
63,calf
64,panic
65,person
66,respiratory virus
67,infectious disease
68,dacryoadenitis
69,viral respiratory illness
70,immunopathology
71,shipping fever
72,lung
73,anxiety
74,disorder
75,coronaviruses
76,fip disease
77,subgroup
78,plague
79,tracheostomy
80,golden syrian hamster
81,cold
82,me
83,feline infectious peritonitis
84,thrombocytopenia
85,coronavirus pneumonia
86,human
87,infection
88,229e
89,respiratory illness
90,syndrome
91,man
92,epidemic diarrhea
93,respiratory pathogen
94,mers
95,rna virus
96,contagious disease
97,gastroenteritis
98,pandemic
99,acute respiratory disease
100,cattle
101,multiorgan failure
102,respiratory disorder
103,public health
104,peritonitis virus
105,porcine epidemic diarrhea
106,infectious bronchitis virus
107,fever
108,infectious peritonitis virus
109,he
110,common cold
111,epidemic
112,liver injury
113,respiratory symptom
114,acute illness
115,same
116,cytokine release syndrome
117,patient
118,disease progression
119,h5n1 influenza virus
120,emerging infectious disease
121,severe acute respiratory disease
122,illness
123,pdcov
124,respiratory viral pathogen
125,neurological disorder
126,public
127,acute respiratory illness
128,peritonitis
129,rhesus monkey
130,barotrauma
131,disease
132,cytokine storm
133,pneumomediastinum
134,interstitial pneumonia
135,virus
136,febrile illness
137,poultry disease
138,mental health
139,porcine
140,cat
141,specie
142,bubonic plague
143,transmissible porcine gastroenteritis
144,osteonecrosis
145,paramyxovirus
146,urgency
147,coronavirus infection
148,leukopenia
149,human coronavirus
150,viral illness
151,astroviruses
152,men
153,enveloped virus
154,murine coronavirus
155,viral
156,respiratory tract infection
157,vaccine
158,pulmonary manifestation
159,enteritis
160,nipah virus
161,respiratory
162,acute disease
163,people
164,sars epidemic
165,transmissible gastroenteritis
166,acute respiratory distress syndrome
167,orchitis
168,transmissible gastroenteritis virus
169,sars coronavirus
