,query_1
0,get
1,genome
2,s protein
3,trade
4,wave
5,plasma
6,nucleic acid
7,nlrp3
8,toll
9,12
10,cd13
11,rest
12,ifn
13,tmprss2
14,nsp15
15,light
16,on
17,dpp4
18,macrodomain
19,plp2
20,aim
21,coronavirus e protein
22,antigen
23,ccr5
24,cfr
25,spring
26,oc43
27,platelet
28,lab
29,orfx
30,ace2
31,spike
32,damage
33,nl63
34,alt
35,hku1
36,n protein
37,not
38,s2 subunit
39,protein e
40,basc
41,pattern
42,human
43,ace2 receptor
44,m protein ectodomain
45,homology
46,hla
47,glycoprotein
48,sirna
49,ttsps
50,rr
51,interferon
52,receptor
53,step
54,pro-inflammatory
55,virion
56,autophagy
57,fusion
58,body
59,impact
60,papr
61,class
62,small
63,gse17400
64,transmembrane protease serine 2
65,tied
66,mpro
67,cell
68,envelope protein
69,spike protein
70,cooper
71,set
72,war
73,antibody
74,end
75,tbk1
76,stigma
77,hong kong
78,3cl pro
79,protein
80,large
81,cathepsin l
82,plpro
83,bthku9
84,ddx1
85,envelope
86,zbcov
87,ifns
88,ntd
89,coronavirus s protein
90,men
91,ceacam1a
92,host
93,plps
94,ga
