,query_4
0,guidance
1,anticoagulation
2,reduction
3,presence
4,oxygen therapy
5,diversion
6,delivery
7,immunosuppressive therapy
8,infiltration
9,release
10,injection
11,detection
12,mechanical ventilation
13,lead
14,chemotherapy
15,remind
16,construction
17,supplementation
18,intervention
19,detected
20,passive immunotherapy
21,expression
22,immunisation
23,matrix
24,surgical treatment
25,isolation
26,treatment
27,antiviral therapy
28,corticosteroid therapy
29,tracheostomy
30,procedure
31,change
32,therapy
33,discussion
34,prevention
35,aim
36,steroid treatment
37,elevation
