,query_1
0,race
1,transmembrane protease serine 2
2,macrodomain
3,step
4,impact
5,3cl pro
6,human
7,call
8,lab
9,papr
10,sirna
11,pattern
12,cathepsin l
13,plps
14,bthku9
15,protein e
16,ifn
17,antigen
18,war
19,alt
20,set
21,16
22,basc
23,orfx
24,end
25,nlrp3
26,tmprss2
27,damage
28,nucleic acid
29,ga
30,glycoprotein
31,zbcov
32,oc43
33,rage
34,m protein ectodomain
35,small
36,wave
37,hla
38,stigma
39,pro-inflammatory
40,igg antibody
41,mpro
42,spike protein
43,gse17400
44,spike
45,nsp15
46,ace2 receptor
47,hong kong
48,genome
49,hku1
50,ntd
51,light
52,tied
53,homology
54,ttsps
55,get
56,s protein
57,envelope protein
58,body
59,aim
60,envelope
61,rr
62,not
63,ace2
64,plasma
65,trade
66,autophagy
67,receptor
68,interferon
69,antibody
70,coronavirus e protein
71,on
72,plpro
73,clone
74,virion
75,ifns
76,spring
77,il
78,nl63
79,cd13
80,class
81,platelet
82,men
83,host
84,plp2
85,tbk1
86,cooper
87,cfr
88,ceacam1a
89,coronavirus s protein
90,n protein
91,toll
92,protein
93,rest
94,s2 subunit
95,dpp4
96,large
97,cell
98,ccr5
99,ddx1
100,fusion
