,query_2
0,murine coronavirus
1,seasonal
2,hcov infection
3,respiratory disorder
4,epidemic disease
5,respiratory virus
6,respiratory tract infection
7,respiratory infection
8,pulmonary manifestation
9,lymphopenia
10,human
11,interstitial pneumonia
12,sars cov
13,people
14,adrenal insufficiency
15,community
16,central nervous system infection
17,fcovs
18,cattle
19,dacryoadenitis
20,plague
21,hyperplasia
22,respiratory illness
23,pdcov
24,fip disease
25,229e
26,peritonitis virus
27,acute respiratory disease
28,clinical syndrome
29,s. pneumoniae
30,poultry disease
31,golden syrian hamster
32,camel
33,hamster
34,pulmonary damage
35,transmissible porcine gastroenteritis
36,viral
37,leukopenia
38,emerging infectious disease
39,severe
40,anxiety
41,tracheostomy
42,person
43,epidemic
44,np
45,infectious peritonitis virus
46,patient
47,infectious respiratory disease
48,covid pandemic
49,cov
50,enteric coronavirus
51,ards
52,gastroenteritis
53,tracheal
54,cough
55,rhesus monkey
56,infectious disease
57,coronavirus outbreak
58,cheetah
59,middle east respiratory syndrome
60,porcine
61,coronavirus pneumonia
62,epidemic diarrhea
63,pneumonia
64,febrile neutropenia
65,severe acute respiratory syndrome coronavirus
66,lung injury
67,immunopathology
68,liver injury
69,bubonic plague
70,panic
71,ph1n1
72,ade
73,infectious peritonitis
74,immune hyperactivity
75,febrile respiratory illness
76,mouse
77,pneumomediastinum
78,flu
79,pig
80,subgroup
81,common cold
82,hd
83,sars coronavirus
84,working
85,same
86,transmissible gastroenteritis
87,respiratory
88,rna
89,respiratory disease
90,me
91,h5n1 influenza virus
92,paramyxovirus
93,sars cov infection
94,child
95,cytokine release syndrome
96,illness
97,lion
98,peritonitis
99,pulmonary lesion
100,acute illness
101,acute respiratory syndrome
102,cold
103,viral illness
104,mental health
105,enteritis
106,influenza
107,shipping fever
108,epidemic hemorrhagic fever
109,acute respiratory syndrome coronavirus 2
110,osteonecrosis
111,hcw
112,human coronavirus
113,condition
114,vaccine
115,astroviruses
116,barotraumas
117,specie
118,communicable respiratory disease
119,deltacoronavirus
120,swine flu
121,cytokine storm
122,transmissible gastroenteritis virus
123,ascovirus
124,ca
125,urgency
126,viral infection
127,thrombocytopenia
128,pandemic
129,acute disease
130,porcine epidemic diarrhea
131,nervous system infection
132,fluid
133,orchitis
134,coronavirus infection
135,atrophy
136,calf
137,diarrhea
138,multiorgan failure
139,acute respiratory illness
140,monkey
141,nipah virus
142,renal failure
143,upper respiratory illness
144,respiratory symptom
145,barotrauma
146,depression
147,he
148,virus
149,disorder
150,febrile illness
151,mers
152,men
153,middle east respiratory syndrome coronavirus
154,disease
155,disease progression
156,neoplasm
157,severe acute respiratory disease
158,rna virus
159,inflammation
160,communicable disease
161,avian influenza
162,sars epidemic
163,fever
164,infection
165,e. coli
166,acute respiratory distress syndrome
167,syndrome
168,public
169,man
170,enveloped virus
171,public health
172,feline infectious peritonitis
173,coronaviruses
174,respiratory syndrome
175,contagious disease
176,respiratory viral pathogen
177,clinical deterioration
178,neurological disorder
179,cat
180,ilis
181,feline coronavirus
182,lung damage
183,woman
184,fmdv
185,lung
186,infectious bronchitis virus
187,gyrovirus
188,cdc
189,neutropenia
190,respiratory pathogen
191,horseshoe bat
192,viral respiratory illness
