,query_6
0,respiratory virus
1,respiratory failure
2,pulmonary aspergillosis
3,distress syndrome
4,interstitial pneumonia
5,sars cov
6,degeneration
7,respiratory illness
8,229e
9,syndrome coronavirus
10,acute respiratory failure
11,acute covid-19ry syndrome
12,infectious respiratory disease
13,covid pandemic
14,viral disease
15,fipv
16,alphacoronavirus 1
17,coronavirus outbreak
18,pd
19,local disease
20,hypoxemia
21,respiratory syndrome coronavirus
22,sari
23,liver injury
24,infectious peritonitis
25,rsv
26,pulmonary involvement
27,airborne
28,high
29,hypoxemic respiratory failure
30,sars coronavirus
31,chronic disease
32,rna
33,ccv
34,me
35,h1n1 influenza
36,transmissible
37,multiple organ failure
38,acute respiratory syndrome coronavirus 2
39,transmissible gastroenteritis coronavirus
40,vaccine
41,major
42,zoonotic disease
43,cytokine storm
44,dm
45,viral hepatitis
46,thrombocytopenia
47,pandemic
48,dysfunction
49,encephalopathy
50,respiratory tract disease
51,coronavirus infection
52,acute respiratory illness
53,olfactory dysfunction
54,lower respiratory infection
55,feline immunodeficiency virus
56,hypertension
57,depression
58,febrile illness
59,mental distress
60,hepatic injury
61,om
62,heart disease
63,communicable disease
64,fever
65,renal impairment
66,pandemic influenza
67,feline infectious peritonitis virus
68,respiratory distress
69,coronaviruses
70,lower
71,neurological disorder
72,dmvs
73,neurologic disorder
74,hypercoagulable
75,mp
76,lung disease
77,h5n1 influenza
78,acute respiratory syndrome coronavirus
79,maternal mortality
80,lung
81,coinfection
82,cov infection
83,cr
84,ed
85,anosmia
86,inflammatory disease
87,pandemic disease
88,adrenal insufficiency
89,community
90,ecmo
91,kobuvirus
92,disease caused by virus
93,respiratory tract symptom
94,ibv
95,lung inflammation
96,infectious lung disease
97,regression
98,rotavirus
99,microangiopathy
100,infectious peritonitis virus
101,emerging disease
102,meningoencephalitis
103,hyperinflammation
104,hemorrhagic fever
105,pandemic infectious disease
106,ebola virus
107,pulmonary infection
108,fip
109,coronavirus pneumonia
110,pneumonia
111,severe acute respiratory syndrome coronavirus
112,retinal degeneration
113,immunopathology
114,high fever
115,contagious
116,panic
117,cancer
118,malaise
119,ade
120,febrile respiratory illness
121,meningitis
122,granulomatous disease
123,respiratory
124,alveolar damage
125,cytokine release syndrome
126,gb
127,peritonitis
128,acute illness
129,aid
130,viral illness
131,mental health
132,influenza
133,virus disease
134,influenza pneumonia
135,condition
136,hypercoagulable state
137,viral pneumonia
138,liver
139,scov
140,viral infection
141,diabetic
142,virus associated
143,acute disease
144,evd
145,nervous system infection
146,necrosis
147,acute febrile respiratory illness
148,appendicitis
149,astrovirus
150,acute infectious disease
151,glomerulonephritis
152,hypoxia
153,cardiac event
154,coagulopathies
155,covid-19 virus disease
156,headache
157,nipah virus
158,upper respiratory tract symptom
159,mers
160,asymptomatic infection
161,kawasaki disease
162,immunodeficiency virus
163,severe infection
164,betacoronaviruses
165,diffuse alveolar damage
166,sars epidemic
167,infection
168,icu
169,malignancy
170,public
171,face
172,hypoxaemia
173,respiratory viral disease
174,contagious disease
175,pulmonary inflammation
176,infectious illness
177,liver damage
178,lung damage
179,gyrovirus
180,sepsis
181,viral respiratory disease
182,gastroenteritis virus
183,secondary infection
184,jhmv
185,gastrointestinal symptom
186,health problem
187,rhinovirus infection
188,sinus node dysfunction
189,hypoxemic failure
190,lymphopenia
191,hepatitis
192,human virus
193,hiv
194,central nervous system infection
195,nosocomial infection
196,aki
197,hypoalbuminemia
198,peritonitis virus
199,clinical syndrome
200,global health
201,acute kidney injury
202,viral
203,respiratory virus infection
204,cov
205,cutaneous vasculitis
206,acute encephalopathy
207,fulminant pneumonia
208,thromboembolism
209,skin lesion
210,cough
211,hypokalemia
212,ml
213,viral hemorrhagic fever
214,widespread disease
215,dic
216,malaria
217,adenovirus
218,nephritis
219,betacoronavirus
220,paramyxovirus
221,type
222,tract infection
