,triple,score
0,"['covid-19', 'disease_disease', 'olfactory dysfunction']",-9.01656723022461
1,"['covid-19', 'disease_disease', 'cryptococcosis']",-9.063325881958008
2,"['covid-19', 'disease_disease', 'rhv']",-9.099413871765137
3,"['covid-19', 'disease_disease', 'wupyv']",-9.19667911529541
4,"['covid-19', 'disease_disease', 'acute pancreatitis']",-9.248425483703613
5,"['covid-19', 'disease_disease', 'brain damage']",-9.307531356811523
6,"['covid-19', 'disease_disease', 'pulmonary cryptococcosis']",-9.451997756958008
7,"['covid-19', 'disease_disease', 'health crisis']",-9.46554946899414
8,"['covid-19', 'disease_disease', 'morbid obesity']",-9.498076438903809
9,"['covid-19', 'disease_disease', 'denvs']",-9.581231117248535
10,"['transmissible', 'disease_disease', 'covid-19']",-9.738568305969238
11,"['childhood', 'disease_disease', 'covid-19']",-9.840085983276367
12,"['wheezing illness', 'disease_disease', 'covid-19']",-9.88021469116211
13,"['h5n1 avian influenza', 'disease_disease', 'covid-19']",-10.137248992919922
14,"['musculoskeletal disease', 'disease_disease', 'covid-19']",-10.244903564453125
15,"['dental disease', 'disease_disease', 'covid-19']",-10.463085174560547
16,"['pandemic a', 'disease_disease', 'covid-19']",-10.494651794433594
17,"['metabolic disease', 'disease_disease', 'covid-19']",-10.503625869750977
18,"['thymus', 'disease_disease', 'covid-19']",-10.51712417602539
19,"['allergic', 'disease_disease', 'covid-19']",-10.534062385559082
