,triple,score,label
0,"['covid-19', 'disease_symptom', 'esophagitis']",-13.25592995,0
1,"['covid-19', 'disease_symptom', 'asthmatic']",-13.31720543,0
2,"['covid-19', 'disease_symptom', 'olfactory dysfunction']",-13.37563515,0
3,"['covid-19', 'disease_symptom', 'anosmia']",-13.41023254,0
4,"['covid-19', 'disease_symptom', 'chronic peritonitis']",-13.52709961,0
5,"['covid-19', 'disease_symptom', 'nociception']",-13.61004353,0
6,"['covid-19', 'disease_symptom', 'metabolic acidosis']",-13.7656765,0
7,"['covid-19', 'disease_symptom', 'sinus tachycardia']",-14.02241516,0
8,"['covid-19', 'disease_symptom', 'enteritis']",-14.03300476,0
9,"['covid-19', 'disease_symptom', 'myositis']",-14.14122391,0
10,"['loss of appetite', 'symptom_disease', 'covid-19']",-12.6105423,0
11,"['allergic', 'symptom_disease', 'covid-19']",-13.3360014,0
12,"['confusion', 'symptom_disease', 'covid-19']",-13.38866997,0
13,"['ostertagiasis', 'symptom_disease', 'covid-19']",-13.52659798,0
14,"['severe infection', 'symptom_disease', 'covid-19']",-13.58586216,0
15,"['acute hemorrhagic conjunctivitis', 'symptom_disease', 'covid-19']",-13.60383892,1
16,"['pulmonary edema', 'symptom_disease', 'covid-19']",-13.66274834,0
17,"['covid-19', 'symptom_disease', 'covid-19']",-13.72469044,0
18,"['severe', 'symptom_disease', 'covid-19']",-13.74420071,0
19,"['encephalitozoonosis', 'symptom_disease', 'covid-19']",-13.766222,0
