,triple,score,label
0,"['covid-19', 'disease_drug', 'rna']",-15.35281849,0
1,"['covid-19', 'disease_drug', 'rbd']",-15.8075428,0
2,"['covid-19', 'disease_drug', 'serotypes']",-15.89069748,0
3,"['covid-19', 'disease_drug', 'virus']",-15.89867783,0
4,"['covid-19', 'disease_drug', 'coli']",-15.94647503,0
5,"['covid-19', 'disease_drug', 'eb']",-16.06700134,0
6,"['covid-19', 'disease_drug', 'deltacoronavirus']",-16.07817268,0
7,"['covid-19', 'disease_drug', 'np']",-16.0988369,0
8,"['covid-19', 'disease_drug', 'ctd']",-16.1776123,0
9,"['covid-19', 'disease_drug', 'viral infection']",-16.24102974,0
10,"['transmissible gastroenteritis virus of swine', 'drug_disease', 'covid-19']",-16.86225891,0
11,"['long', 'drug_disease', 'covid-19']",-17.20638466,0
12,"['major', 'drug_disease', 'covid-19']",-17.28142738,0
13,"['ali', 'drug_disease', 'covid-19']",-17.39704514,0
14,"['cavity', 'drug_disease', 'covid-19']",-17.41877747,0
15,"['airway inflammation', 'drug_disease', 'covid-19']",-17.53767395,0
16,"['lle', 'drug_disease', 'covid-19']",-17.56893158,0
17,"['appendicitis', 'drug_disease', 'covid-19']",-17.57804489,0
18,"['rickets', 'drug_disease', 'covid-19']",-17.5933876,0
19,"['type', 'drug_disease', 'covid-19']",-17.62605858,0
