,triple,score,label
0,"['covid-19', 'disease_treat_procedure', 'kidney injury']",-16.78209686,0
1,"['covid-19', 'disease_treat_procedure', 'covid-19']",-16.82349968,0
2,"['covid-19', 'disease_treat_procedure', 'covid pandemic']",-16.83995056,0
3,"['covid-19', 'disease_treat_procedure', 'vaccine']",-16.8771019,0
4,"['covid-19', 'disease_treat_procedure', 'pandemic']",-16.93946075,0
5,"['covid-19', 'disease_treat_procedure', 'pneumonia']",-16.97903442,0
6,"['covid-19', 'disease_treat_procedure', 'sars cov infection']",-17.01824188,0
7,"['covid-19', 'disease_treat_procedure', 'tumour']",-17.07367897,0
8,"['covid-19', 'disease_treat_procedure', 'type']",-17.08191299,0
9,"['covid-19', 'disease_treat_procedure', 'consumption']",-17.1194191,0
10,"['critical', 'treat_procedure_disease', 'covid-19']",-16.22254372,0
11,"['pandemic', 'treat_procedure_disease', 'covid-19']",-16.63986206,0
12,"['enhanced', 'treat_procedure_disease', 'covid-19']",-16.70168114,0
13,"['icu', 'treat_procedure_disease', 'covid-19']",-16.72999382,0
14,"['community', 'treat_procedure_disease', 'covid-19']",-16.74298096,0
15,"['lung', 'treat_procedure_disease', 'covid-19']",-16.75569725,0
16,"['lung injury', 'treat_procedure_disease', 'covid-19']",-16.78212357,0
17,"['injury', 'treat_procedure_disease', 'covid-19']",-16.79410553,0
18,"['cytokine storm', 'treat_procedure_disease', 'covid-19']",-16.8643322,0
19,"['bp', 'treat_procedure_disease', 'covid-19']",-16.87578583,0
