,query_2,label
0,respiratory pathogen,0
1,shipping fever,0
2,vaccine,0
3,viral infection,0
4,community,0
5,neutropenia,0
6,bubonic plague,0
7,transmissible porcine gastroenteritis,0
8,disorder,0
9,epidemic disease,0
10,acute respiratory distress syndrome,0
11,viral illness,0
12,contagious disease,0
13,h5n1 influenza virus,0
14,febrile respiratory illness,0
15,thrombocytopenia,0
16,infection,0
17,febrile neutropenia,0
18,sars cov infection,0
19,tracheal,0
20,same,0
21,hyperplasia,0
22,viral respiratory illness,0
23,astroviruses,0
24,disease,0
25,infectious disease,0
26,sars epidemic,0
27,acute respiratory syndrome,0
28,deltacoronavirus,0
29,gastroenteritis,0
30,upper respiratory illness,0
31,febrile illness,0
32,immune hyperactivity,0
33,respiratory tract infection,0
34,cytokine release syndrome,0
35,osteonecrosis,0
36,ilis,0
37,lung,0
38,adrenal insufficiency,0
39,common cold,0
40,ascovirus,0
41,leukopenia,0
42,public health,0
43,emerging infectious disease,0
44,respiratory disease,0
45,public,0
46,poultry disease,0
47,peritonitis virus,0
48,coronavirus pneumonia,0
49,pandemic,0
50,lung damage,0
51,fever,0
52,lion,0
53,infectious peritonitis virus,0
54,barotraumas,0
55,middle east respiratory syndrome,0
56,acute disease,0
57,pneumonia,0
58,depression,0
59,liver injury,0
60,severe acute respiratory syndrome coronavirus,0
61,diarrhea,0
62,condition,0
63,illness,0
64,gyrovirus,0
65,fluid,0
66,rna,0
67,communicable respiratory disease,0
68,tracheostomy,0
69,pulmonary lesion,0
70,viral,0
71,porcine epidemic diarrhea,0
72,ade,0
73,acute respiratory disease,0
74,panic,0
75,orchitis,0
76,cold,0
77,np,0
78,interstitial pneumonia,0
79,infectious respiratory disease,0
80,coronavirus outbreak,0
81,epidemic,0
82,urgency,0
83,inflammation,0
84,hcov infection,0
85,respiratory syndrome,0
86,acute respiratory syndrome coronavirus 2,0
87,respiratory illness,0
88,cytokine storm,0
89,severe acute respiratory disease,0
90,pulmonary damage,0
91,nipah virus,0
92,barotrauma,0
93,hcw,0
94,229e,0
95,peritonitis,0
96,pneumomediastinum,0
97,enteric coronavirus,0
98,severe,0
99,immunopathology,0
100,lung injury,0
101,subgroup,0
102,fcovs,0
103,neurological disorder,0
104,rna virus,0
105,dacryoadenitis,0
106,cough,0
107,murine coronavirus,0
108,cdc,0
109,middle east respiratory syndrome coronavirus,0
110,communicable disease,0
111,acute respiratory illness,0
112,pulmonary manifestation,0
113,feline coronavirus,0
114,pdcov,0
115,respiratory symptom,0
116,enteritis,0
117,ards,0
118,epidemic diarrhea,0
119,clinical deterioration,0
120,central nervous system infection,0
121,flu,0
122,respiratory infection,0
123,swine flu,0
124,coronavirus infection,0
125,severe acute respiratory syndrome coronavirus 2,0
126,ca,0
127,me,0
128,neoplasm,0
129,he,0
130,syndrome,0
131,infectious bronchitis virus,0
132,paramyxovirus,0
133,anxiety,0
134,mental health,0
135,ph1n1,0
136,nervous system infection,0
137,lymphopenia,0
138,epidemic hemorrhagic fever,0
139,infectious peritonitis,0
140,renal failure,0
141,cheetah,0
142,respiratory viral pathogen,0
143,atrophy,0
144,multiorgan failure,0
145,acute illness,0
146,covid pandemic,0
147,plague,0
148,enveloped virus,0
149,transmissible gastroenteritis,0
150,respiratory disorder,0
151,feline infectious peritonitis,0
152,fip disease,0
153,virus,0
154,clinical syndrome,0
155,disease progression,0
