,query_6
0,hepatitis e virus
1,sars coronavirus
2,shipping fever
3,vaccine
4,diabetes
5,community
6,aspergillosis
7,headache
8,disorder
9,epidemic disease
10,cutaneous vasculitis
11,acute respiratory distress syndrome
12,injury
13,lu
14,mers
15,viral illness
16,systemic disease
17,encephalopathy
18,miscarriage
19,encephalitis
20,thrombocytopenia
21,infection
22,h1n1 influenza
23,sinus node dysfunction
24,gastrointestinal symptom
25,acute encephalopathy
26,sars cov infection
27,kidney injury
28,viral respiratory illness
29,same
30,dysfunction
31,ccv
32,disease
33,infectious disease
34,ibv
35,acute respiratory syndrome
36,jhmv
37,degeneration
38,regression
39,respiratory tract infection
40,diabetic
41,cytokine release syndrome
42,cardiovascular disease
43,malaise
44,osteonecrosis
45,mhv
46,myocardial injury
47,type
48,lung
49,uterus
50,h1n1 swine flu
51,systemic granulomatous disease
52,om
53,coagulopathy
54,leukopenia
55,public health
56,emerging infectious disease
57,respiratory disease
58,public
59,microangiopathy
60,peritonitis virus
61,fip
62,hyperinflammation
63,thrombosis
64,pandemic
65,lung damage
66,fever
67,infectious peritonitis virus
68,middle east respiratory syndrome
69,rhinovirus
70,pneumonia
71,liver injury
72,diarrhea
73,cancer
74,necrosis
75,myocarditis
76,feline immunodeficiency virus
77,illness
78,gyrovirus
79,sepsis
80,rna
81,communicable respiratory disease
82,influenza a
83,respiratory virus
84,renal impairment
85,viral
86,acute respiratory infection
87,acute necrotizing encephalopathy
88,vasculitis
89,panic
90,lymphocytopenia
91,gb
92,necrotizing encephalopathy
93,cold
94,pulmonary aspergillosis
95,respiratory distress syndrome
96,bovine diarrhea virus
97,secondary infection
98,feline infectious peritonitis virus
99,laryngotracheitis
100,cat
101,ct
102,obesity
103,coronavirus outbreak
104,face
105,pulmonary inflammation
106,epidemic
107,bocavirus
108,inflammation
109,coronavirus disease
110,nose
111,respiratory syndrome
112,dm
113,icu
114,respiratory illness
115,coronaviruses
116,cytokine storm
117,hepatic injury
118,rhabdomyolysis
119,olfactory dysfunction
120,hyperfibrinolysis
121,pe
122,nipah virus
123,alveolar damage
124,seborrheic dermatitis
125,hcw
126,229e
127,image
128,clotting disorder
129,immunopathology
130,psychological distress
131,ecmo
132,dad
133,lung injury
134,diarrhoea
135,cov
136,respiratory failure
137,cardiomyopathy
138,direct infection
139,anosmia
140,ageing
141,cough
142,rsv
143,cdc
144,distress syndrome
145,communicable disease
146,betacoronavirus
147,respiratory symptom
148,aki
149,ards
150,transmissible gastroenteritis coronavirus
151,tb
152,retinal degeneration
153,acute covid-19ry syndrome
154,immunodeficiency virus
155,pulmonary involvement
156,skin lesion
157,viral hemorrhagic fever
158,central nervous system infection
159,cardiovascular complication
160,clinical deterioration
161,viral respiratory disease
162,clinical syndrome
163,diffuse alveolar damage
164,urticaria
165,hypoxia
166,coronavirus infection
167,acute kidney injury
168,renal injury
169,viral disease
170,stroke
171,hemorrhagic fever
172,pd
173,he
174,fipv
175,bovine viral diarrhea virus
176,syndrome
177,infectious bronchitis virus
178,throat infection
179,bacterial infection
180,anxiety
181,influenza
182,mental health
183,asymptomatic infection
184,betacoronaviruses
185,nervous system infection
186,lymphopenia
187,cardiac injury
188,glomerulonephritis
189,ali
190,granulomatous disease
191,hypertension
192,cns
193,dmvs
194,sars cov
195,anorexia
196,virus
197,viral infection
198,kawasaki disease
199,disease progression
