,query_1
0,host
1,ntd
2,mpro
3,autophagy
4,end
5,genome
6,envelope
7,coronavirus s protein
8,rr
9,small
10,cathepsin l
11,s protein
12,plp2
13,human
14,envelope protein
15,light
16,war
17,dpp4
18,fusion
19,ceacam1a
20,cd13
21,ccr5
22,orfx
23,damage
24,oc43
25,ifns
26,men
27,ace2
28,ace2 receptor
29,wave
30,pro-inflammatory
31,m protein ectodomain
32,homology
33,tmprss2
34,ga
35,ddx1
36,antibody
37,aim
38,trade
39,nsp15
40,get
41,basc
42,protein
43,hong kong
44,hla
45,class
46,bthku9
47,s2 subunit
48,gse17400
49,nlrp3
50,body
51,ttsps
52,plps
53,stigma
54,set
55,n protein
56,interferon
57,nl63
58,rest
59,hku1
60,plpro
61,glycoprotein
62,impact
63,ifn
