,query_6
0,viral lung disease
1,hcw
2,respiratory distress
3,secondary infection
4,communicable disease
5,hepatic injury
6,ebola virus
7,lung disease
8,coagulopathy
9,peritonitis
10,nose
11,lymphopenia
12,kobuvirus
13,pandemic
14,respiratory illness
15,viral respiratory illness
16,kidney injury
17,psychological distress
18,mental health
19,syndrome
20,lung damage
21,pulmonary aspergillosis
22,direct infection
23,hepatitis e virus
24,depression
25,viral disease
26,mp
27,mhv
28,lymphocytopenia
29,hypercoagulable state
30,emerging
31,inflammation
32,scov
33,fever
34,infectious peritonitis
35,injury
36,vaccine
37,disorder
38,covid pandemic
39,respiratory syndrome
40,acute respiratory syndrome coronavirus 2
41,respiratory disease
42,ali
43,bovine viral diarrhea virus
44,acute disease
45,hiv
46,respiratory infectious disease
47,gastroenteritis virus
48,sars cov
49,headache
50,coronavirus disease
51,distress syndrome
52,sars epidemic
53,feline immunodeficiency virus
54,respiratory infection
55,viral illness
56,acute respiratory infection
57,face
58,hypoxemic failure
59,health problem
60,coronavirus infection
61,fatal
62,pneumonia
63,clinical syndrome
64,uterus
65,acute respiratory distress syndrome
66,infectious bronchitis virus
67,encephalitis
68,dysfunction
69,infectious
70,pleural effusion
71,contagious
72,severe
73,acute respiratory failure
74,cr
75,enveloped virus
76,transmissible
77,emerging disease
78,infection
79,feline infectious peritonitis virus
80,shipping fever
81,retinal degeneration
82,diarrhea
83,neurologic disorder
84,acute kidney injury
85,zoonotic disease
86,coronavirus outbreak
87,acute
88,virus disease
89,virus
90,ibv
91,hypoxemic respiratory failure
92,ards
93,renal failure
94,rhinovirus infection
95,middle east respiratory syndrome coronavirus
96,lower respiratory infection
97,central nervous system infection
98,immunodeficiency virus
99,respiratory failure
100,viral infection
101,feline infectious peritonitis
102,respiratory
103,degeneration
104,rna virus
105,respiratory virus infection
106,neurological disorder
107,acute respiratory syndrome
108,peritonitis virus
109,nervous system infection
110,throat infection
111,type
112,public health
113,lung
114,thrombosis
115,disease
116,viral
117,mers
118,ground glass opacity
119,cytokine release syndrome
120,community
121,infectious peritonitis virus
122,virus associated
123,middle east respiratory syndrome
124,hemagglutinating encephalomyelitis virus
125,systemic infection
126,sars coronavirus
127,human coronavirus
128,olfactory dysfunction
129,aki
130,icu
131,emerging infectious disease
132,gb
133,clotting disorder
134,respiratory tract infection
135,cns
136,obesity
137,myocarditis
138,malignancy
139,adrenal insufficiency
140,leukopenia
141,conjunctivitis
142,contagious disease
143,plan
144,respiratory distress syndrome
145,rna
146,jhmv
147,gastrointestinal symptom
148,bovine diarrhea virus
149,infectious disease
150,coronaviruses
151,systemic disease
152,bocavirus
153,mouse hepatitis virus
154,sepsis
155,cov
156,viral pneumonia
157,stroke
158,epidemic
159,atypical pneumonia
160,diarrhoea
161,tract infection
162,acute respiratory disease
163,disease caused by virus
164,viral respiratory disease
165,immunopathology
166,epidemic disease
167,aspergillosis
168,public
169,229e
