,query_6
0,ards
1,middle east respiratory syndrome
2,cold
3,direct infection
4,leukopenia
5,type
6,feline immunodeficiency virus
7,infection
8,gb
9,feline infectious peritonitis virus
10,rsv
11,face
12,virus
13,systemic granulomatous disease
14,ct
15,h1n1 influenza
16,viral illness
17,influenza
18,alveolar damage
19,ali
20,acute respiratory infection
21,diarrhea
22,influenza a
23,mental health
24,stroke
25,diffuse alveolar damage
26,ibv
27,mhv
28,epidemic
29,dmvs
30,fipv
31,granulomatous disease
32,clotting disorder
33,229e
34,respiratory illness
35,viral disease
36,hepatic injury
37,aki
38,renal injury
39,cov
40,bovine diarrhea virus
41,immunopathology
42,cardiovascular complication
43,acute covid-19ry syndrome
44,he
45,obesity
46,distress syndrome
47,hcw
48,gastrointestinal symptom
49,cardiovascular disease
50,viral respiratory illness
51,lung
52,peritonitis virus
53,necrosis
54,vaccine
55,public health
56,psychological distress
57,coronaviruses
58,diarrhoea
59,coagulopathy
60,olfactory dysfunction
61,cns
62,2009
63,fip
64,lu
65,bovine viral diarrhea virus
66,sars cov
67,skin lesion
68,mers
69,syndrome
70,viral
71,gyrovirus
72,ccv
73,viral respiratory disease
74,acute kidney injury
75,disorder
76,rna
77,epidemic disease
78,disease
79,respiratory tract infection
80,aspergillosis
81,infectious peritonitis virus
82,degeneration
83,uterus
84,myocarditis
85,throat infection
86,pneumonia
87,pe
88,encephalitis
89,infectious bronchitis virus
90,kidney injury
91,fever
92,bocavirus
93,thrombosis
94,sars cov infection
95,respiratory distress syndrome
96,cdc
97,community
98,cat
99,clinical syndrome
100,viral infection
101,headache
102,diabetes
103,shipping fever
104,respiratory virus
105,pandemic
106,diabetic
107,anosmia
108,pulmonary aspergillosis
109,asymptomatic infection
110,dad
111,illness
112,lung damage
113,h1n1 swine flu
114,malaise
115,systemic disease
116,respiratory disease
117,tb
118,rhinovirus
119,emerging infectious disease
120,immunodeficiency virus
121,infectious disease
122,cardiac injury
123,respiratory syndrome
124,nervous system infection
125,acute respiratory syndrome
126,acute respiratory distress syndrome
127,lymphocytopenia
128,jhmv
129,transmissible gastroenteritis coronavirus
130,retinal degeneration
131,public
132,central nervous system infection
133,dysfunction
134,hepatitis e virus
135,sars coronavirus
136,cytokine release syndrome
137,lymphopenia
138,injury
139,inflammation
