,query_2,label
0,coronavirus pneumonia,0
1,ards,0
2,transmissible porcine gastroenteritis,0
3,respiratory illness,0
4,hyperplasia,0
5,lung injury,0
6,syndrome,0
7,viral,0
8,coronavirus infection,0
9,acute illness,0
10,shipping fever,0
11,pandemic,0
12,rna,0
13,disease,0
14,infection,0
15,he,0
16,common cold,0
17,ilis,0
18,peritonitis,0
19,same,0
20,contagious disease,0
21,respiratory disease,0
22,virus,0
23,infectious peritonitis virus,0
24,severe acute respiratory syndrome coronavirus,0
25,febrile respiratory illness,0
26,viral respiratory illness,0
27,infectious peritonitis,0
28,emerging infectious disease,0
29,infectious disease,0
30,respiratory syndrome,0
31,acute respiratory syndrome,0
32,lung,0
33,peritonitis virus,0
34,pulmonary damage,0
35,pneumonia,0
36,renal failure,0
37,viral illness,0
38,fcovs,0
39,acute respiratory illness,0
40,febrile illness,0
41,deltacoronavirus,0
42,infectious bronchitis virus,0
43,gastroenteritis,0
44,disease progression,0
45,infectious respiratory disease,0
46,cytokine storm,0
47,enteritis,0
48,sars cov infection,0
49,severe acute respiratory syndrome coronavirus 2,0
50,epidemic,0
51,sars epidemic,0
52,respiratory infection,0
53,acute respiratory syndrome coronavirus 2,0
54,paramyxovirus,0
55,transmissible gastroenteritis,0
56,inflammation,0
57,feline infectious peritonitis,0
58,community,0
