,query_6
0,cdc
1,sars cov infection
2,pneumonia
3,lung damage
4,ct
5,dysfunction
6,throat infection
7,feline immunodeficiency virus
8,clinical syndrome
9,hepatitis e virus
10,dmvs
11,mhv
12,sars cov
13,influenza
14,respiratory virus
15,disease
16,clotting disorder
17,aspergillosis
18,infection
19,gastrointestinal symptom
20,syndrome
21,fever
22,epidemic
23,ali
24,cov
25,illness
26,obesity
27,respiratory illness
28,community
29,h1n1 influenza
30,distress syndrome
31,diarrhea
32,inflammation
33,leukopenia
34,ccv
35,retinal degeneration
36,infectious disease
37,skin lesion
38,public health
39,coagulopathy
40,psychological distress
41,emerging infectious disease
42,coronaviruses
43,rsv
44,bocavirus
45,stroke
46,bovine diarrhea virus
47,infectious peritonitis virus
48,dad
49,viral respiratory illness
50,gb
51,viral disease
52,systemic granulomatous disease
53,nervous system infection
54,degeneration
55,229e
56,influenza a
57,malaise
58,peritonitis virus
59,rna
60,lymphocytopenia
61,he
62,shipping fever
63,tb
64,thrombosis
65,pulmonary aspergillosis
66,hepatic injury
67,central nervous system infection
68,lymphopenia
69,mental health
70,asymptomatic infection
71,epidemic disease
72,encephalitis
73,disorder
74,systemic disease
75,gyrovirus
76,fipv
77,pandemic
78,viral infection
79,mers
80,ibv
81,hcw
82,viral illness
83,acute respiratory distress syndrome
84,immunopathology
85,cytokine release syndrome
86,vaccine
87,lung
88,rhinovirus
89,middle east respiratory syndrome
90,jhmv
91,necrosis
92,feline infectious peritonitis virus
93,cat
94,immunodeficiency virus
95,acute respiratory syndrome
96,infectious bronchitis virus
97,granulomatous disease
98,transmissible gastroenteritis coronavirus
99,uterus
100,injury
101,respiratory distress syndrome
102,bovine viral diarrhea virus
103,respiratory disease
104,acute respiratory infection
105,olfactory dysfunction
106,respiratory syndrome
107,cns
108,headache
109,type
110,viral respiratory disease
111,fip
112,diarrhoea
113,direct infection
114,virus
115,ards
116,public
117,sars coronavirus
