,query_2
0,transmissible gastroenteritis virus
1,camel
2,febrile respiratory illness
3,respiratory infection
4,gastroenteritis
5,cat
6,epidemic
7,enteritis
8,infectious peritonitis virus
9,monkey
10,he
11,rna
12,common cold
13,s. pneumoniae
14,rhesus monkey
15,human
16,horseshoe bat
17,severe acute respiratory syndrome coronavirus
18,coronaviruses
19,inflammation
20,human coronavirus
21,viral respiratory illness
22,golden syrian hamster
23,hamster
24,disease
25,feline infectious peritonitis
26,transmissible gastroenteritis
27,respiratory syndrome
28,acute respiratory syndrome
29,pulmonary damage
30,fmdv
31,peritonitis virus
32,lung injury
33,murine coronavirus
34,person
35,same
36,influenza
37,patient
38,infection
39,fcovs
40,renal failure
41,hyperplasia
42,porcine
43,virus
44,cov
45,coronavirus pneumonia
46,infectious bronchitis virus
47,ilis
48,acute illness
49,paramyxovirus
50,respiratory virus
51,man
52,emerging infectious disease
53,people
54,respiratory disease
55,e. coli
56,community
57,sars cov infection
58,syndrome
59,cattle
60,respiratory illness
61,child
62,deltacoronavirus
63,infectious respiratory disease
64,sars cov
65,pneumonia
66,lung
67,respiratory
68,coronavirus infection
69,shipping fever
70,calf
71,contagious disease
72,febrile illness
73,peritonitis
74,cytokine storm
75,viral
76,disease progression
77,pig
78,sars epidemic
79,acute respiratory syndrome coronavirus 2
80,infectious disease
81,transmissible porcine gastroenteritis
82,pandemic
83,specie
84,mouse
85,acute respiratory illness
86,infectious peritonitis
87,ards
88,viral illness
