,query_6
0,viral respiratory disease
1,type
2,immunodeficiency virus
3,viral illness
4,sars epidemic
5,ali
6,pulmonary aspergillosis
7,h1n1 influenza
8,health problem
9,cold
10,coronavirus infection
11,severe acute respiratory syndrome coronavirus
12,virus associated
13,vaccine
14,degeneration
15,illness
16,hcw
17,granulomatous disease
18,obesity
19,immunopathology
20,ccv
21,rna virus
22,coagulopathy
23,inflammation
24,respiratory virus
25,feline infectious peritonitis
26,febrile illness
27,pandemic disease
28,disorder
29,virus
30,acute respiratory disease
31,acute kidney injury
32,conjunctivitis
33,influenza
34,enveloped virus
35,myocardial injury
36,pulmonary infection
37,necrosis
38,respiratory infectious disease
39,hepatic injury
40,chronic disease
41,disease caused by virus
42,sepsis
43,hypercoagulable state
44,malaise
45,shipping fever
46,pulmonary complication
47,respiratory tract disease
48,nosocomial infection
49,infection
50,disease
51,pulmonary syndrome
52,cortex
53,transmissible gastroenteritis coronavirus
54,adrenal insufficiency
55,icu
56,peritonitis
57,hemagglutinating encephalomyelitis virus
58,rna
59,sars coronavirus
60,viral infection
61,hiv
62,public
63,direct infection
64,throat infection
65,syndrome
66,renal injury
67,clotting disorder
68,viral hepatitis
69,mucosal
70,rsv
71,ct
72,communicable disease
73,virus disease
74,respiratory failure
75,public health
76,mp
77,kobuvirus
78,coronaviruses
79,diarrhea
80,viral
81,bovine diarrhea virus
82,hypoxemic respiratory failure
83,ibv
84,lung damage
85,lung
86,h1n1
87,aspergillosis
88,neurologic disorder
89,peritonitis virus
90,fever
91,olfactory dysfunction
92,uterus
93,respiratory tract infection
94,high fever
95,acute infectious disease
96,encephalitis
97,severe
98,plan
99,infectious disease
100,me
101,hypoxemic failure
102,dic
103,systemic disease
104,cytokine release syndrome
105,cytokine storm
106,leukopenia
107,h1n1 swine flu
108,nervous system infection
109,distress syndrome
110,insulin resistance
111,liver injury
112,alphacoronavirus 1
113,bocavirus
114,epidemic
115,sars cov
116,betacoronavirus
117,229e
118,2009
119,diarrhoea
120,respiratory illness
121,respiratory distress syndrome
122,respiratory symptom
123,fatigue
124,ground glass opacity
125,fipv
126,cdc
127,clinical syndrome
128,human coronavirus
129,respiratory disease
130,fip
131,inflammatory disease
132,scov
133,emerging
134,covid pandemic
135,syndrome coronavirus
136,influenza virus
137,febrile respiratory illness
138,systemic granulomatous disease
139,nose
140,hepatitis
141,gastroenteritis virus
142,lower respiratory infection
143,kidney injury
144,gyrovirus
145,dad
146,asymptomatic infection
147,myocarditis
148,diabetes
149,emerging disease
150,mouse hepatitis virus
151,coronavirus outbreak
152,face
153,middle east respiratory syndrome coronavirus
154,fatal
155,infectious peritonitis
156,astrovirus
157,central nervous system infection
158,respiratory infection
159,rhinovirus
160,cardiovascular complication
161,viral disease
162,systemic infection
163,anosmia
164,injury
165,acute disease
166,acute respiratory syndrome
167,infectious peritonitis virus
168,community
169,transmissible
170,respiratory distress
171,depression
172,influenza b
173,coronavirus disease
174,infectious illness
175,malignancy
176,headache
177,cns
178,renal failure
179,respiratory syndrome coronavirus
180,ebola virus
181,stroke
182,respiratory viral disease
183,viral respiratory illness
184,acute respiratory infection
185,influenza pandemic
186,zoonotic disease
187,aki
188,mhv
189,common cold
190,tract infection
191,viral pneumonia
192,secondary infection
193,acute respiratory syndrome coronavirus
194,aid
195,acute respiratory distress syndrome
196,liver
197,acute
198,adenovirus
199,gastrointestinal symptom
200,dmvs
201,mers
202,gb
203,middle east respiratory syndrome
204,pleural effusion
205,airborne
206,rhinovirus infection
207,bovine viral diarrhea virus
208,respiratory virus infection
209,atypical pneumonia
210,feline immunodeficiency virus
211,diabetic
212,coronavirus pneumonia
213,multiple organ failure
214,lung disease
215,emerging infectious disease
216,human virus
217,infectious
218,alveolar damage
219,nasal discharge
220,cat
221,cov
222,skin lesion
223,viral lung disease
224,acute respiratory failure
225,mental health
226,hepatitis e virus
227,influenza a
228,rotavirus
229,pandemic
230,retinal degeneration
231,dysfunction
232,thrombosis
233,sars cov infection
234,lymphopenia
235,contagious
236,psychological distress
237,local disease
238,cr
239,pneumonia
240,tb
241,pandemic influenza
242,respiratory
243,flu
244,feline infectious peritonitis virus
245,neurological disorder
246,lymphocytopenia
247,infectious bronchitis virus
248,acute respiratory syndrome coronavirus 2
249,h5n1 influenza
250,he
251,ards
252,contagious disease
253,jhmv
254,epidemic disease
255,respiratory syndrome
