,query_1
0,genome
1,homology
2,trade
3,gse17400
4,set
5,wave
6,small
7,light
8,men
9,hku1
10,antigen
11,glycoprotein
12,hla
13,antibody
14,ifn
15,end
16,zbcov
17,tbk1
18,nlrp3
19,autophagy
20,macrodomain
21,ccr5
22,orfx
23,stigma
24,ceacam1a
25,mpro
26,coronavirus s protein
27,spring
28,ddx1
29,ntd
30,plpro
31,fusion
32,ifns
33,m protein ectodomain
34,aim
35,s protein
36,class
37,tmprss2
38,pro-inflammatory
39,impact
40,on
41,cell
42,dpp4
43,ace2 receptor
44,spike
45,get
46,basc
47,cd13
48,ga
49,papr
50,nsp15
51,plps
52,bthku9
53,protein
54,rest
55,envelope protein
56,hong kong
57,coronavirus e protein
58,plasma
59,n protein
60,pattern
61,nl63
62,plp2
63,oc43
64,envelope
65,ttsps
66,interferon
67,s2 subunit
68,damage
69,body
70,war
71,cooper
72,human
73,ace2
74,host
75,rr
76,cathepsin l
77,large
