,query_2
0,syndrome
1,viral illness
2,respiratory disease
3,disease progression
4,acute illness
5,porcine
6,transmissible porcine gastroenteritis
7,pig
8,calf
9,transmissible gastroenteritis
10,emerging infectious disease
11,deltacoronavirus
12,rhesus monkey
13,viral
14,severe acute respiratory syndrome coronavirus
15,camel
16,lung
17,cat
18,specie
19,man
20,cov
21,monkey
22,acute respiratory illness
23,s. pneumoniae
24,inflammation
25,contagious disease
26,acute respiratory syndrome
27,horseshoe bat
28,pandemic
29,virus
30,infectious disease
31,influenza
32,child
33,mouse
34,people
35,gastroenteritis
36,sars cov infection
37,e. coli
38,human
39,person
40,fmdv
41,transmissible gastroenteritis virus
42,respiratory
43,viral respiratory illness
44,cattle
45,acute respiratory syndrome coronavirus 2
46,sars cov
47,disease
48,infection
49,lung injury
50,he
51,murine coronavirus
52,patient
53,respiratory illness
54,respiratory syndrome
