object,subject,relation
child,dysfunction,disease_species
child,et dysfunction,disease_species
virus,rsv,disease_disease
child,treatment,treat_procedure_species
virus,urgency,disease_disease
base,chloroquine,drug_gene
virus,virus,disease_disease
endosomes,step,gene_gene
chloroquine,chloroquine,drug_drug
viral nucleotidyl transferase,drug,drug_gene
weak,chloroquine,drug_symptom
extracted,rna,disease_treat_procedure
avian influenza,id,disease_disease
influenza,id,disease_disease
pneumonia,disease,disease_disease
mouse,mabs,gene_species
mabs,aim,gene_gene
end,prophylaxis,treat_procedure_gene
hpai h5n1 virus,zoonotic infection,disease_disease
mab,treatment,treat_procedure_gene
viral infection,antibody,gene_disease
infection,antibody,gene_disease
vcjd,tuberculosis,disease_disease
past,impact,gene_gene
pulmonary pathology,pandemic influenza,disease_disease
community,epidemic,disease_disease
disease,coronaviruses,disease_disease
infection,curcumine,drug_disease
disease,severe acute respiratory syndrome,disease_disease
disease,acute respiratory syndrome,disease_disease
infectious disease,acute respiratory syndrome,disease_disease
infectious disease,syndrome,disease_disease
disease,syndrome,disease_disease
infectious disease,respiratory syndrome,disease_disease
disease,respiratory syndrome,disease_disease
infectious disease,severe acute respiratory syndrome,disease_disease
patient,rantes -28 g allele,gene_species
recruitment,rantes,gene_disease
rantes,lung inflammation,disease_gene
envelope,virus,disease_gene
transmissible,hepatitis a virus,disease_disease
chaga disease,trypanosoma cruzi,disease_disease
infection,trypanosoma cruzi,disease_disease
people,vcjd,disease_species
therapy,blood transfusion,treat_procedure_treat_procedure
virus,prrsv,disease_disease
enveloped virus,prrsv,disease_disease
arteritis virus,arteriviridae,disease_disease
equine arteritis virus,arteriviridae,disease_disease
vimentin,prrsv,disease_gene
receptor,prrsv,disease_gene
infection,prrsv,disease_disease
covid-19 virus,mitochondrial heat shock protein,gene_disease
covid-19 virus,heat shock protein,gene_disease
prrsv infection,cd151,gene_disease
cd151,cd151 protein,gene_gene
antibody,cd151,gene_gene
monoclonal antibody,cd151,gene_drug
gene 1,cd151,gene_gene
cloned,cd151,gene_gene
specie,cd151 protein,gene_species
anti-cd151 mab,membrane,gene_gene
mab,membrane,gene_gene
3clpro,plp1,gene_gene
cysteine protease,plp1,gene_gene
plp2,coronaviruses,disease_gene
pl2pro,plp2,gene_gene
protein,clone,gene_gene
membrane protein,mhv nsp3,gene_gene
integral membrane protein,mhv nsp3,gene_gene
cell,egfp,gene_gene
er,protein,gene_disease
endo h,treatment,treat_procedure_gene
bacteriophage t7 polymerase,vaccinia virus,disease_gene
bacteriophage t7 polymerase,recombinant vaccinia virus,disease_gene
carboxypeptidase,ace2,gene_gene
receptor,ace2,gene_gene
syndrome,ace2,gene_disease
respiratory syndrome,ace2,gene_disease
acute respiratory syndrome,ace2,gene_disease
severe acute respiratory syndrome,ace2,gene_disease
sars,ace2,gene_disease
gln,glu,drug_drug
specie,ace3,gene_species
pseudogene,ace3,gene_gene
mouse,gln,drug_gene
mouse,ace3,gene_gene
ace,asp,drug_drug
critical,asp,drug_disease
mouse,ace3 sequence,gene_gene
ace,human ace3,gene_drug
ace,ace3,gene_drug
expression,pseudogenes,gene_treat_procedure
animal,makorin1,gene_species
expression,presence,treat_procedure_treat_procedure
expression,ace3 gene,gene_treat_procedure
gene,ace3 gene,gene_gene
specie,virus,disease_species
human,virus,disease_gene
specie,influenza a virus,disease_species
viral rna polymerase,genome,gene_gene
rna polymerase,viral genome,gene_gene
rna dependent rna polymerase,viral genome,gene_gene
viral rna polymerase,viral genome,gene_gene
rna dependent rna polymerase,genome,gene_gene
rna polymerase,genome,gene_gene
ribosome,pseudoknot,gene_gene
impact,pandemic influenza,disease_gene
impact,guidance,treat_procedure_gene
epidemic,pandemic virus,disease_disease
common cold,coronavirus infection,disease_disease
cold,coronavirus infection,disease_disease
respiratory tract disease,coronavirus infection,disease_disease
detected,coding region,gene_treat_procedure
cdc,mhv,disease_gene
pdcs,mhv,disease_gene
induction,nsp1,gene_treat_procedure
major,nsp1,gene_disease
papcs,coronaviruses,disease_gene
expression,coronaviruses,disease_treat_procedure
gene,gpt gene,gene_gene
sars cov,respiratory tract disease,disease_disease
sars cov,lower respiratory tract disease,disease_disease
encephalitis,blind,disease_disease
mouse,encephalitic alphavirus,disease_species
cns,encephalitic alphavirus,disease_disease
tissue,virus,disease_disease
cns,virus,disease_disease
encephalitis,infection,disease_disease
infiltration,encephalitis,disease_treat_procedure
vaccination,cell type,gene_treat_procedure
infection,igg antibody,gene_disease
electroporation,virus,disease_treat_procedure
infection,virus,disease_disease
nsp2,g3bp1,gene_gene
pkr,expression,treat_procedure_gene
rna,wnv,disease_disease
tgev,infection,disease_disease
granule,inclusion,gene_gene
expression,nuclear factor κb,gene_treat_procedure
protein,rna virus,disease_gene
p50,e1a,gene_gene
host,parasite,disease_gene
iκbα,parasite,disease_gene
child,injury,disease_species
child,inflammatory injury,disease_species
