,triple,score,label
0,"['covid-19', 'disease_drug', 'fipv infection']",-15.8376379,0
1,"['covid-19', 'disease_drug', 'rna']",-15.86165619,0
2,"['covid-19', 'disease_drug', 'aa']",-16.16949272,0
3,"['covid-19', 'disease_drug', 'consumption']",-16.20785522,0
4,"['covid-19', 'disease_drug', 'rbd']",-16.39653587,0
5,"['covid-19', 'disease_drug', 'type']",-16.52737427,0
6,"['covid-19', 'disease_drug', 'viral infection']",-16.54133606,0
7,"['covid-19', 'disease_drug', 'pneumoniae']",-16.56001663,0
8,"['covid-19', 'disease_drug', 'virus']",-16.58511353,0
9,"['covid-19', 'disease_drug', 'tissue hypoperfusion']",-16.60726357,0
10,"['critical', 'drug_disease', 'covid-19']",-17.27005577,0
11,"['high', 'drug_disease', 'covid-19']",-17.49458694,0
12,"['liver', 'drug_disease', 'covid-19']",-18.08789063,0
13,"['bronchospasm', 'drug_disease', 'covid-19']",-18.1599884,0
14,"['diphtheria toxoid', 'drug_disease', 'covid-19']",-18.16748428,0
15,"['enhanced', 'drug_disease', 'covid-19']",-18.18082237,0
16,"['long', 'drug_disease', 'covid-19']",-18.22060013,0
17,"['blood', 'drug_disease', 'covid-19']",-18.24822617,0
18,"['infectious bronchitis coronavirus', 'drug_disease', 'covid-19']",-18.2829628,0
19,"['airborne', 'drug_disease', 'covid-19']",-18.34214592,0
