,triple,score,label
0,"['covid-19', 'disease_gene', 'rna']",-17.89173126,0
1,"['covid-19', 'disease_gene', 'scv']",-18.1002655,0
2,"['covid-19', 'disease_gene', 'rbd']",-18.26439095,0
3,"['covid-19', 'disease_gene', 'np']",-18.31852913,0
4,"['covid-19', 'disease_gene', 'virus']",-18.35682869,0
5,"['covid-19', 'disease_gene', 'recombinant virus']",-18.63122177,0
6,"['covid-19', 'disease_gene', 'veev']",-18.71326065,0
7,"['covid-19', 'disease_gene', 'hdv']",-18.73113632,0
8,"['covid-19', 'disease_gene', 'dmvs']",-18.79771423,0
9,"['covid-19', 'disease_gene', 'paramyxovirus']",-18.86690331,0
10,"['critical', 'gene_disease', 'covid-19']",-18.82843018,0
11,"['high', 'gene_disease', 'covid-19']",-19.75786018,0
12,"['virus infection', 'gene_disease', 'covid-19']",-19.87202454,0
13,"['helix', 'gene_disease', 'covid-19']",-19.87652397,0
14,"['blood', 'gene_disease', 'covid-19']",-20.05814171,0
15,"['upper respiratory disease', 'gene_disease', 'covid-19']",-20.12592888,0
16,"['long', 'gene_disease', 'covid-19']",-20.13159561,0
17,"['mhv', 'gene_disease', 'covid-19']",-20.14721298,0
18,"['vaccine', 'gene_disease', 'covid-19']",-20.21964455,0
19,"['recruitment', 'gene_disease', 'covid-19']",-20.23035049,0
