,triple,score,label
0,"['covid-19', 'disease_species', 'shipping fever']",-16.60806465,0
1,"['covid-19', 'disease_species', 'radiological abnormality']",-16.63591576,0
2,"['covid-19', 'disease_species', 'subclinical infection']",-16.64017105,0
3,"['covid-19', 'disease_species', 'bluetongue']",-16.68712234,0
4,"['covid-19', 'disease_species', 'co-infection']",-16.69114304,0
5,"['covid-19', 'disease_species', 'coinfection']",-16.70810318,0
6,"['covid-19', 'disease_species', 'felv infection']",-16.73035812,0
7,"['covid-19', 'disease_species', 'fungal infection']",-16.82949448,0
8,"['covid-19', 'disease_species', 'ehec']",-16.8550148,0
9,"['covid-19', 'disease_species', 'h5n1 pandemic']",-16.93535614,0
10,"['covid-19', 'disease_species', 'domestic dog']",-16.95529175,1
11,"['covid-19', 'disease_species', 'hemorrhagic disease']",-16.9656601,0
12,"['covid-19', 'disease_species', 'viral infection']",-16.9858532,0
13,"['covid-19', 'disease_species', 'hcov infection']",-17.02562332,0
14,"['covid-19', 'disease_species', 'respiratory viral pathogen']",-17.04949379,0
15,"['covid-19', 'disease_species', 'ai infection']",-17.05736923,0
16,"['covid-19', 'disease_species', 'coronavirus infection']",-17.06215286,0
17,"['covid-19', 'disease_species', 'congenital defect']",-17.0692482,0
18,"['covid-19', 'disease_species', 'syndrome']",-17.08865547,0
19,"['covid-19', 'disease_species', 'jhm']",-17.10563087,0
