,triple,score
0,"['covid-19', 'disease_species', 'coinfection']",-16.54989242553711
1,"['covid-19', 'disease_species', 'porcine hemagglutinating encephalomyelitis virus']",-16.695552825927734
2,"['covid-19', 'disease_species', 'pandemic h1n1 influenza virus']",-16.730989456176758
3,"['covid-19', 'disease_species', 'vaccine']",-16.76952362060547
4,"['covid-19', 'disease_species', 'hypercytokinaemia']",-17.061920166015625
5,"['covid-19', 'disease_species', 'bluetongue']",-17.116857528686523
6,"['covid-19', 'disease_species', 'subclinical infection']",-17.142488479614258
7,"['covid-19', 'disease_species', 'dacryoadenitis']",-17.191431045532227
8,"['covid-19', 'disease_species', 'me']",-17.275590896606445
9,"['covid-19', 'disease_species', 'vrc']",-17.284833908081055
10,"['covid-19', 'disease_species', 'upper respiratory illness']",-17.297969818115234
11,"['covid-19', 'disease_species', 'coccidioidomycosis']",-17.34713363647461
12,"['covid-19', 'disease_species', 'cervicitis']",-17.386281967163086
13,"['covid-19', 'disease_species', 'respiratory viral pathogen']",-17.39666748046875
14,"['covid-19', 'disease_species', 'infectious disease']",-17.414363861083984
15,"['covid-19', 'disease_species', 'domestic dog']",-17.45905303955078
16,"['covid-19', 'disease_species', 'chlamydial infection']",-17.489341735839844
17,"['covid-19', 'disease_species', 'epidemic']",-17.52474594116211
18,"['covid-19', 'disease_species', 'barotraumas']",-17.53826141357422
19,"['covid-19', 'disease_species', 'sars cov infection']",-17.56333351135254
