,query_4
0,matrix
1,construction
2,immunisation
3,surgical treatment
4,chemotherapy
5,detected
6,immunosuppressive therapy
7,guidance
8,disease prevention
9,tracheostomy
10,detection
11,change
12,discussion
13,combination therapy
14,reduction
15,remind
16,release
17,presence
18,mechanical ventilation
19,elevation
20,infiltration
21,intervention
22,injection
23,therapy
24,lead
25,diversion
26,urgent
27,aim
28,steroid treatment
29,anticoagulation
30,passive immunotherapy
31,corticosteroid therapy
32,expression
33,supplementation
34,delivery
35,procedure
36,isolation
37,treatment
38,oxygen therapy
39,prevention
40,antiviral therapy
