,query_2
0,acute respiratory distress syndrome
1,neurological disorder
2,ca
3,mental health
4,community
5,ilis
6,pig
7,severe acute respiratory syndrome coronavirus
8,lung injury
9,immunopathology
10,lymphopenia
11,respiratory infection
12,barotrauma
13,coronavirus pneumonia
14,inflammation
15,pdcov
16,hd
17,mers
18,epidemic
19,men
20,person
21,covid pandemic
22,disorder
23,fcovs
24,patient
25,common cold
26,dacryoadenitis
27,respiratory disease
28,ade
29,feline infectious peritonitis
30,murine coronavirus
31,paramyxovirus
32,transmissible gastroenteritis virus
33,neoplasm
34,infectious peritonitis virus
35,golden syrian hamster
36,feline coronavirus
37,infectious disease
38,viral illness
39,fip disease
40,pulmonary manifestation
41,sars cov
42,febrile illness
43,coronaviruses
44,febrile respiratory illness
45,enveloped virus
46,febrile neutropenia
47,deltacoronavirus
48,infectious respiratory disease
49,plague
50,enteritis
51,coronavirus outbreak
52,barotraumas
53,disease
54,respiratory symptom
55,acute disease
56,urgency
57,sars epidemic
58,calf
59,fmdv
60,seasonal
61,panic
62,pneumomediastinum
63,transmissible gastroenteritis
64,acute respiratory syndrome
65,contagious disease
66,osteonecrosis
67,cough
68,sars coronavirus
69,severe acute respiratory disease
70,child
71,ph1n1
72,lung
73,e. coli
74,horseshoe bat
75,public
76,liver injury
77,leukopenia
78,hcw
79,middle east respiratory syndrome
80,poultry disease
81,respiratory disorder
82,clinical deterioration
83,anxiety
84,acute illness
85,lung damage
86,respiratory viral pathogen
87,cov
88,orchitis
89,illness
90,syndrome
91,pandemic
92,respiratory tract infection
93,he
94,vaccine
95,pneumonia
96,atrophy
97,man
98,swine flu
99,clinical syndrome
100,woman
101,thrombocytopenia
102,subgroup
103,fever
104,me
105,camel
106,viral
107,respiratory virus
108,epidemic diarrhea
109,respiratory
110,epidemic hemorrhagic fever
111,interstitial pneumonia
112,cdc
113,renal failure
114,ards
115,infection
116,hyperplasia
117,human
118,avian influenza
119,ascovirus
120,viral respiratory illness
121,229e
122,public health
123,gyrovirus
124,s. pneumoniae
125,cold
126,mouse
127,specie
128,disease progression
129,flu
130,condition
131,hamster
132,monkey
133,coronavirus infection
134,cheetah
135,acute respiratory illness
136,pulmonary damage
137,cytokine storm
138,working
139,porcine
140,infectious peritonitis
141,transmissible porcine gastroenteritis
142,cattle
143,tracheostomy
144,hcov infection
145,tracheal
146,lion
147,fluid
148,respiratory syndrome
149,middle east respiratory syndrome coronavirus
150,astroviruses
151,neutropenia
152,acute respiratory syndrome coronavirus 2
153,rna virus
154,rna
155,sars cov infection
156,epidemic disease
157,respiratory illness
158,same
159,infectious bronchitis virus
160,peritonitis
161,people
162,rhesus monkey
163,human coronavirus
164,cytokine release syndrome
165,influenza
166,virus
167,emerging infectious disease
168,upper respiratory illness
169,cat
170,bubonic plague
171,porcine epidemic diarrhea
172,acute respiratory disease
173,enteric coronavirus
174,peritonitis virus
175,nipah virus
176,respiratory pathogen
177,shipping fever
178,gastroenteritis
179,h5n1 influenza virus
180,multiorgan failure
