,query_6
0,cr
1,viral pneumonia
2,venous thromboembolism
3,hepatic injury
4,immunopathology
5,cardiac event
6,bovine diarrhea virus
7,mental health problem
8,lymphopenia
9,uterus
10,fatal
11,ebola virus
12,myocarditis
13,disorder
14,transmissible gastroenteritis coronavirus
15,urticaria
16,common cold
17,insulin resistance
18,feline infectious peritonitis
19,om
20,tract infection
21,renal impairment
22,acute covid-19ry syndrome
23,direct infection
24,olfactory dysfunction
25,sars cov
26,distress syndrome
27,image
28,meningoencephalitis
29,disease
30,acute disease
31,sars epidemic
32,acute respiratory syndrome
33,myocardial injury
34,acute infection
35,type
36,public
37,anxiety
38,lung damage
39,illness
40,psychological distress
41,h1n1 swine flu
42,pleural effusion
43,injury
44,mental distress
45,lung disease
46,ageing
47,influenza virus
48,fever
49,2009
50,granulomatous disease
51,fipv
52,local disease
53,central nervous system infection
54,meningitis
55,coagulopathy
56,virus disease
57,hypercoagulable
58,syndrome coronavirus
59,relapse
60,lu
61,acute respiratory illness
62,bacterial infection
63,acute kidney injury
64,anosmia
65,respiratory complication
66,viral respiratory disease
67,aki
68,feline immunodeficiency virus
69,high fever
70,acute respiratory syndrome coronavirus 2
71,sars cov infection
72,respiratory illness
73,human coronavirus
74,cytokine release syndrome
75,gastroenteritis virus
76,cat
77,hypoxemic respiratory failure
78,systemic infection
79,respiratory syndrome coronavirus
80,headache
81,influenza pandemic
82,hit
83,pulmonary infection
84,severe acute respiratory syndrome coronavirus
85,nosocomial infection
86,h1n1 influenza
87,hiv
88,mers
89,epidemic
90,renal injury
91,hepatitis
92,respiratory tract disease
93,virus associated
94,pulmonary inflammation
95,conjunctivitis
96,infectious peritonitis virus
97,infectious disease
98,encephalitis
99,viral illness
100,liver damage
101,infectious illness
102,malaise
103,febrile respiratory illness
104,rsv
105,hypoxemic failure
106,high
107,hemophagocytic syndrome
108,infectious lung disease
109,global health
110,widespread disease
111,hypokalemia
112,aspergillosis
113,severe infection
114,hypertension
115,vasculitis
116,nasal discharge
117,disease caused by virus
118,hypoxaemia
119,health problem
120,cutaneous vasculitis
121,middle east respiratory syndrome
122,sinus node dysfunction
123,cov
124,mp
125,respiratory tract illness
126,clinical deterioration
127,dic
128,syndrome
129,hypoalbuminemia
130,pandemic
131,thromboembolism
132,he
