,query_1
0,zbcov
1,homology
2,cathepsin l
3,get
4,nucleic acid
5,spring
6,12
7,hku1
8,plpro
9,dpp4
10,men
11,gse17400
12,macrodomain
13,il
14,on
15,mpro
16,spike
17,interferon
18,papr
19,ifn
20,cooper
21,nlrp3
22,alt
23,body
24,toll
25,ace2 receptor
26,oc43
27,ceacam1a
28,receptor
29,ccr5
30,basc
31,cell
32,plasma
33,glycoprotein
34,ttsps
35,transmembrane protease serine 2
36,hong kong
37,end
38,tied
39,envelope protein
40,trade
41,pro-inflammatory
42,impact
43,3cl pro
44,class
45,step
46,light
47,set
48,nl63
49,spike protein
50,protein
51,nsp15
52,ifns
53,plps
54,host
55,pattern
56,antigen
57,tmprss2
58,ga
59,igg antibody
60,rage
61,rest
62,protein e
63,war
64,stigma
65,m protein ectodomain
66,ntd
67,human
68,not
69,autophagy
70,bthku9
71,n protein
72,lab
73,s protein
74,coronavirus e protein
75,sirna
76,rr
77,damage
78,coronavirus s protein
79,orfx
80,cfr
81,antibody
82,ddx1
83,ace2
84,plp2
85,platelet
86,genome
87,virion
88,tbk1
89,cd13
90,large
91,wave
92,aim
93,small
94,16
95,envelope
96,s2 subunit
97,fusion
98,hla
