,query_6
0,dad
1,thrombosis
2,tb
3,disease
4,influenza
5,shipping fever
6,urticaria
7,type
8,cov
9,illness
10,hcw
11,infection
12,acute covid-19ry syndrome
13,ct
14,acute respiratory infection
15,dm
16,seborrheic dermatitis
17,panic
18,acute necrotizing encephalopathy
19,viral respiratory illness
20,regression
21,obesity
22,jhmv
23,immunodeficiency virus
24,syndrome
25,aspergillosis
26,anosmia
27,cytokine release syndrome
28,nose
29,necrotizing encephalopathy
30,epidemic disease
31,skin lesion
32,emerging infectious disease
33,mhv
34,coagulopathy
35,cardiovascular disease
36,sars cov infection
37,cns
38,pulmonary involvement
39,same
40,necrosis
41,public health
42,rsv
43,gastrointestinal symptom
44,pulmonary aspergillosis
45,pe
46,respiratory tract infection
47,bovine viral diarrhea virus
48,viral hemorrhagic fever
49,lung
50,miscarriage
51,lymphocytopenia
52,direct infection
53,throat infection
54,kidney injury
55,dysfunction
56,ards
57,rhinovirus
58,2009
59,hepatic injury
60,nervous system infection
61,ecmo
62,psychological distress
63,encephalopathy
64,mers
65,coronavirus infection
66,olfactory dysfunction
67,cardiovascular complication
68,headache
69,cutaneous vasculitis
70,fever
71,myocardial injury
72,respiratory symptom
73,peritonitis virus
74,feline immunodeficiency virus
75,acute respiratory syndrome
76,coronaviruses
77,image
78,viral infection
79,renal injury
80,renal impairment
81,fipv
82,sars coronavirus
83,coronavirus disease
84,diffuse alveolar damage
85,systemic granulomatous disease
86,vaccine
87,diarrhoea
88,rna
89,ali
90,disorder
91,pandemic
92,dmvs
93,retinal degeneration
94,sinus node dysfunction
95,clinical deterioration
96,alveolar damage
97,diabetic
98,disease progression
99,he
100,aki
101,asymptomatic infection
102,bovine diarrhea virus
103,acute kidney injury
104,229e
105,uterus
106,transmissible gastroenteritis coronavirus
107,vasculitis
108,public
109,ibv
110,sars cov
111,community
112,cardiomyopathy
113,cancer
114,respiratory disease
115,cold
116,distress syndrome
117,stroke
118,clotting disorder
119,ageing
120,cdc
121,bacterial infection
122,inflammation
123,clinical syndrome
124,fip
125,immunopathology
126,hypertension
127,lung damage
128,malaise
129,gb
130,cytokine storm
131,pulmonary inflammation
132,osteonecrosis
133,leukopenia
134,respiratory distress syndrome
135,anxiety
136,viral
137,infectious disease
138,bocavirus
139,degeneration
140,acute encephalopathy
141,central nervous system infection
142,h1n1 swine flu
143,influenza a
144,lu
145,face
146,cough
147,gyrovirus
148,viral respiratory disease
149,icu
150,hemorrhagic fever
151,acute respiratory distress syndrome
152,feline infectious peritonitis virus
153,thrombocytopenia
154,cardiac injury
155,respiratory virus
156,secondary infection
157,ccv
158,injury
159,systemic disease
160,kawasaki disease
161,hypoxia
162,nipah virus
163,viral illness
164,viral disease
165,diabetes
166,middle east respiratory syndrome
167,respiratory syndrome
168,hepatitis e virus
169,om
170,epidemic
171,virus
172,granulomatous disease
173,myocarditis
174,cat
175,pneumonia
176,infectious bronchitis virus
177,infectious peritonitis virus
178,rhabdomyolysis
179,encephalitis
180,respiratory illness
181,diarrhea
182,lymphopenia
183,mental health
184,betacoronavirus
185,h1n1 influenza
