,query_2
0,ilis
1,person
2,infectious peritonitis virus
3,infectious disease
4,same
5,people
6,sars cov infection
7,respiratory illness
8,common cold
9,contagious disease
10,cov
11,porcine
12,sars cov
13,rna
14,nipah virus
15,me
16,mouse
17,cattle
18,ards
19,inflammation
20,febrile respiratory illness
21,murine coronavirus
22,neurological disorder
23,golden syrian hamster
24,influenza
25,disease progression
26,viral
27,calf
28,viral illness
29,woman
30,cat
31,vaccine
32,infectious respiratory disease
33,coronavirus infection
34,respiratory disease
35,severe acute respiratory syndrome coronavirus
36,epidemic disease
37,e. coli
38,transmissible porcine gastroenteritis
39,lung
40,feline infectious peritonitis
41,pig
42,child
43,cytokine storm
44,man
45,peritonitis virus
46,lung damage
47,pulmonary damage
48,deltacoronavirus
49,respiratory viral pathogen
50,fmdv
51,gastroenteritis
52,respiratory
53,immunopathology
54,respiratory virus
55,peritonitis
56,shipping fever
57,human
58,respiratory tract infection
59,acute respiratory syndrome
60,viral respiratory illness
61,poultry disease
62,public health
63,human coronavirus
64,respiratory infection
65,tracheostomy
66,transmissible gastroenteritis
67,paramyxovirus
68,renal failure
69,fcovs
70,acute respiratory illness
71,coronavirus pneumonia
72,infectious bronchitis virus
73,hamster
74,febrile illness
75,transmissible gastroenteritis virus
76,s. pneumoniae
77,syndrome
78,pandemic
79,coronaviruses
80,infection
81,disorder
82,interstitial pneumonia
83,he
84,middle east respiratory syndrome
85,infectious peritonitis
86,virus
87,camel
88,patient
89,respiratory pathogen
90,epidemic
91,community
92,acute respiratory syndrome coronavirus 2
93,lung injury
94,swine flu
95,acute illness
96,sars coronavirus
97,rhesus monkey
98,sars epidemic
99,disease
100,hyperplasia
101,flu
102,emerging infectious disease
103,respiratory syndrome
104,horseshoe bat
105,plague
106,enteritis
107,pneumonia
108,monkey
109,specie
