,query_1
0,interferon
1,not
2,protein e
3,spike
4,ttsps
5,bthku9
6,envelope
7,impact
8,12
9,on
10,spring
11,stigma
12,get
13,tmprss2
14,mpro
15,coronavirus e protein
16,rest
17,nlrp3
18,receptor
19,ceacam1a
20,ntd
21,war
22,large
23,hku1
24,tbk1
25,pro-inflammatory
26,plpro
27,orfx
28,set
29,light
30,pattern
31,plps
32,macrodomain
33,dpp4
34,cooper
35,small
36,nl63
37,damage
38,host
39,plp2
40,spike protein
41,human
42,cathepsin l
43,antigen
44,antibody
45,ga
46,platelet
47,nsp15
48,m protein ectodomain
49,ifns
50,hong kong
51,end
52,trade
53,gse17400
54,lab
55,ddx1
56,fusion
57,autophagy
58,genome
59,s protein
60,papr
61,homology
62,glycoprotein
63,class
64,n protein
65,oc43
66,rr
67,envelope protein
68,ifn
69,aim
70,cell
71,s2 subunit
72,zbcov
73,plasma
74,ccr5
75,hla
76,men
77,basc
78,ace2
79,body
80,protein
81,cfr
82,ace2 receptor
83,nucleic acid
84,sirna
85,wave
86,cd13
87,coronavirus s protein
