,query_6
0,injury
1,distress syndrome
2,thrombocytopenia
3,h1n1 influenza
4,acute infection
5,respiratory tract disease
6,rsv
7,respiratory syndrome coronavirus
8,acute disease
9,infectious peritonitis virus
10,influenza b
11,infectious disease
12,same
13,health problem
14,rotavirus
15,feline infectious peritonitis virus
16,pandemic disease
17,coronavirus outbreak
18,sars cov infection
19,fatigue
20,respiratory illness
21,fever
22,lymphocytopenia
23,viral respiratory disease
24,cov
25,common cold
26,contagious disease
27,inflammatory disease
28,cdc
29,severe
30,degeneration
31,nose
32,hepatic injury
33,neurologic disorder
34,insulin resistance
35,sars cov
36,h5n1 influenza
37,central nervous system infection
38,ct
39,rna
40,viral lung disease
41,nipah virus
42,me
43,headache
44,influenza virus
45,plan
46,icu
47,obesity
48,acute respiratory failure
49,alveolar damage
50,malignancy
51,ards
52,systemic infection
53,inflammation
54,mhv
55,sepsis
56,ccv
57,cardiovascular disease
58,airborne
59,cns
60,human virus
61,chronic disease
62,mp
63,influenza pandemic
64,febrile respiratory illness
65,neurological disorder
66,major
67,multi-organ failure
68,long
69,adenovirus
70,influenza
71,infectious illness
72,pe
73,viral
74,fip
75,viral illness
76,communicable disease
77,type
78,cat
79,diabetic
80,hypertension
81,acute respiratory distress syndrome
82,adrenal insufficiency
83,hypoxemic failure
84,hemophagocytic syndrome
85,hypoxaemia
86,vaccine
87,infectious respiratory disease
88,coronavirus infection
89,thromboembolism
90,diabetes
91,ibv
92,ebola virus
93,respiratory disease
94,severe acute respiratory syndrome coronavirus
95,hepatitis
96,regression
97,conjunctivitis
98,multiple organ failure
99,encephalitis
100,hemagglutinating encephalomyelitis virus
101,ecmo
102,epidemic disease
103,bovine diarrhea virus
104,skin lesion
105,gb
106,respiratory distress
107,h1n1
108,covid pandemic
109,viral disease
110,encephalopathy
111,cvd
112,lung
113,gyrovirus
114,diffuse alveolar damage
115,systemic disease
116,throat infection
117,feline infectious peritonitis
118,gastroenteritis virus
119,cytokine release syndrome
120,bovine viral diarrhea virus
121,cytokine storm
122,diarrhoea
123,local disease
124,gastrointestinal symptom
125,respiratory viral disease
126,illness
127,necrosis
128,rhinovirus
129,secondary infection
130,hiv
131,mers
132,communicable respiratory disease
133,peritonitis virus
134,liver injury
135,dysfunction
136,thrombosis
137,lung damage
138,public
139,malaise
140,renal injury
141,acute covid-19ry syndrome
142,viral hepatitis
143,respiratory
144,immunopathology
145,respiratory virus
146,retinal degeneration
147,peritonitis
148,shipping fever
149,respiratory virus infection
150,respiratory tract infection
151,diarrhea
152,myocarditis
153,acute respiratory syndrome
154,clotting disorder
155,pleural effusion
156,leukopenia
157,nervous system infection
158,kidney injury
159,viral respiratory illness
160,hypercoagulable state
161,jhmv
162,alphacoronavirus 1
163,asymptomatic infection
164,ali
165,anosmia
166,renal impairment
167,pandemic influenza
168,transmissible
169,public health
170,human coronavirus
171,2009
172,uterus
173,myocardial injury
174,lu
175,fipv
176,hit
177,respiratory infection
178,aspergillosis
179,contagious
180,vasculitis
181,betacoronaviruses
182,nosocomial infection
183,atypical pneumonia
184,dad
185,rna virus
186,scov
187,direct infection
188,tb
189,fibrosis
190,renal failure
191,coronavirus pneumonia
192,mouse hepatitis virus
193,infectious bronchitis virus
194,febrile illness
195,relapse
196,influenza a
197,syndrome
198,acute respiratory disease
199,cardiomyopathy
200,virus disease
201,pandemic
202,lung disease
203,aid
204,pulmonary aspergillosis
205,coronaviruses
206,infection
207,hepatitis e virus
208,systemic granulomatous disease
209,mucosal
210,cold
211,psychological distress
212,astrovirus
213,cr
214,disorder
215,severe infection
216,immunodeficiency virus
217,viral infection
218,respiratory symptom
219,aki
220,high fever
221,pulmonary syndrome
222,feline immunodeficiency virus
223,he
224,229e
225,liver
226,syndrome coronavirus
227,middle east respiratory syndrome
228,face
229,panic
230,om
231,cortex
232,pulmonary infection
233,disease caused by virus
234,virus associated
235,infectious peritonitis
236,tract infection
237,coronavirus disease
238,olfactory dysfunction
239,virus
240,betacoronavirus
241,lymphopenia
242,venous thromboembolism
243,bacterial infection
244,hcw
245,kobuvirus
246,zoonotic disease
247,community
248,epidemic
249,infectious
250,mental health
251,transmissible gastroenteritis coronavirus
252,acute respiratory syndrome coronavirus 2
253,depression
254,bocavirus
255,dmvs
256,sars coronavirus
257,dic
258,hypoxemic respiratory failure
259,respiratory distress syndrome
260,urticaria
261,emerging
262,sars epidemic
263,rhinovirus infection
264,nasal discharge
265,lower respiratory infection
266,disease
267,respiratory failure
268,acute
269,flu
270,coagulopathy
271,viral respiratory infection
272,emerging infectious disease
273,hyperinflammation
274,enveloped virus
275,granulomatous disease
276,emerging disease
277,respiratory infectious disease
278,pulmonary complication
279,respiratory syndrome
280,hypoalbuminemia
281,acute kidney injury
282,kawasaki disease
283,acute respiratory infection
284,cardiovascular complication
285,stroke
286,acute infectious disease
287,h1n1 swine flu
288,cardiac injury
289,fatal
290,coagulopathies
291,viral pneumonia
292,clinical syndrome
293,pneumonia
294,middle east respiratory syndrome coronavirus
295,acute respiratory syndrome coronavirus
296,ground glass opacity
