,query_2
0,peritonitis virus
1,ards
2,interstitial pneumonia
3,gastroenteritis
4,virus
5,he
6,paramyxovirus
7,inflammation
8,sars epidemic
9,child
10,liver injury
11,golden syrian hamster
12,disease
13,respiratory virus
14,viral respiratory illness
15,e. coli
16,middle east respiratory syndrome
17,infectious disease
18,pandemic
19,atrophy
20,syndrome
21,shipping fever
22,ilis
23,flu
24,working
25,public
26,transmissible porcine gastroenteritis
27,dacryoadenitis
28,viral illness
29,public health
30,ph1n1
31,respiratory syndrome
32,severe acute respiratory syndrome coronavirus
33,mental health
34,horseshoe bat
35,pulmonary damage
36,middle east respiratory syndrome coronavirus
37,coronaviruses
38,influenza
39,epidemic disease
40,plague
41,hamster
42,avian influenza
43,fmdv
44,infectious respiratory disease
45,multiorgan failure
46,patient
47,woman
48,deltacoronavirus
49,hcw
50,acute respiratory illness
51,acute respiratory syndrome
52,coronavirus pneumonia
53,illness
54,person
55,community
56,respiratory infection
57,sars coronavirus
58,lion
59,bubonic plague
60,respiratory pathogen
61,transmissible gastroenteritis virus
62,febrile illness
63,swine flu
64,neutropenia
65,contagious disease
66,barotraumas
67,fever
68,emerging infectious disease
69,lung damage
70,sars cov
71,fcovs
72,enteritis
73,rna
74,anxiety
75,acute respiratory distress syndrome
76,poultry disease
77,calf
78,orchitis
79,lymphopenia
80,respiratory disorder
81,nipah virus
82,immunopathology
83,pneumonia
84,me
85,epidemic diarrhea
86,viral
87,disease progression
88,acute illness
89,urgency
90,murine coronavirus
91,respiratory illness
92,lung injury
93,infection
94,porcine epidemic diarrhea
95,cov
96,coronavirus infection
97,respiratory tract infection
98,infectious bronchitis virus
99,febrile respiratory illness
100,cattle
101,cat
102,infectious peritonitis virus
103,lung
104,people
105,respiratory viral pathogen
106,ade
107,cheetah
108,monkey
109,rna virus
110,specie
111,hyperplasia
112,same
113,cold
114,common cold
115,febrile neutropenia
116,neurological disorder
117,pig
118,porcine
119,men
120,transmissible gastroenteritis
121,renal failure
122,respiratory
123,mouse
124,tracheostomy
125,vaccine
126,sars cov infection
127,peritonitis
128,human
129,feline infectious peritonitis
130,tracheal
131,cytokine storm
132,mers
133,disorder
134,acute respiratory syndrome coronavirus 2
135,human coronavirus
136,infectious peritonitis
137,pneumomediastinum
138,respiratory disease
139,camel
140,man
141,feline coronavirus
142,rhesus monkey
143,panic
144,s. pneumoniae
145,h5n1 influenza virus
146,epidemic
