,query_4,label
0,treatment,0
1,change,0
2,mechanical ventilation,1
3,construction,0
4,immunosuppressive therapy,1
5,expression,0
6,corticosteroid therapy,1
7,detection,0
8,remind,0
9,procedure,0
10,aim,0
11,surgical treatment,0
12,intervention,0
13,elevation,0
14,supplementation,0
15,diversion,0
16,presence,0
17,chemotherapy,0
18,isolation,0
19,delivery,0
20,injection,0
21,steroid treatment,1
22,prevention,0
23,passive immunotherapy,1
24,anticoagulation,0
25,matrix,0
26,reduction,0
27,detected,0
28,therapy,0
29,immunisation,1
