,query_1
0,on
1,hku1
2,ga
3,homology
4,end
5,ifn
6,envelope protein
7,spike
8,papr
9,aim
10,nl63
11,antibody
12,not
13,light
14,oc43
15,stigma
16,war
17,s protein
18,toll
19,ddx1
20,tbk1
21,genome
22,platelet
23,ifns
24,gse17400
25,bthku9
26,step
27,12
28,plps
29,trade
30,nucleic acid
31,wave
32,ttsps
33,plp2
34,impact
35,receptor
36,macrodomain
37,fusion
38,glycoprotein
39,cooper
40,coronavirus e protein
41,get
42,hla
43,zbcov
44,hong kong
45,spring
46,pattern
47,mpro
48,rr
49,ceacam1a
50,plpro
51,small
52,class
53,m protein ectodomain
54,host
55,autophagy
56,s2 subunit
57,ace2
58,large
59,dpp4
60,cathepsin l
61,orfx
62,plasma
63,set
64,antigen
65,cd13
66,ace2 receptor
67,spike protein
68,protein e
69,ntd
70,protein
71,coronavirus s protein
72,n protein
73,rest
74,nsp15
75,ccr5
76,pro-inflammatory
77,lab
78,envelope
79,men
80,cell
81,damage
82,human
83,body
84,nlrp3
85,cfr
86,interferon
87,basc
88,tmprss2
89,sirna
