,query_6
0,central nervous system infection
1,229e
2,encephalopathy
3,liver injury
4,disease
5,infectious disease
6,plan
7,syndrome
8,immunodeficiency virus
9,emerging disease
10,diarrhea
11,public
12,viral illness
13,ccv
14,sinus node dysfunction
15,myocarditis
16,ebola virus
17,sepsis
18,epidemic disease
19,plague
20,fip
21,infectious respiratory disease
22,coronavirus outbreak
23,ali
24,illness
25,uterus
26,community
27,acute kidney injury
28,severe infection
29,virus disease
30,acute respiratory syndrome coronavirus
31,dmvs
32,tract infection
33,rna
34,rotavirus
35,hepatic injury
36,retinal degeneration
37,high fever
38,lymphopenia
39,necrosis
40,viral lung disease
41,diarrhoea
42,coronavirus disease
43,health problem
44,throat infection
45,regression
46,respiratory infectious disease
47,coagulopathy
48,respiratory symptom
49,pulmonary syndrome
50,distress syndrome
51,respiratory tract infection
52,infectious bronchitis virus
53,infectious peritonitis virus
54,multi-organ failure
55,atypical pneumonia
56,lung
57,myocardial injury
58,h1n1
59,pe
60,cold
61,2009
62,face
63,hypertension
64,neurological disorder
65,kobuvirus
66,thrombosis
67,dysfunction
68,feline immunodeficiency virus
69,respiratory
70,cardiovascular disease
71,cvd
72,peritonitis
73,stress cardiomyopathy
74,thrombocytopenia
75,pleural effusion
76,acute covid-19ry syndrome
77,infectious peritonitis
78,hyperinflammation
79,peritonitis virus
80,aspergillosis
81,bovine diarrhea virus
82,inflammatory disease
83,virus
84,aki
85,ml
86,h1n1 swine flu
87,cr
88,middle east respiratory syndrome
89,clinical deterioration
90,shipping fever
91,viral respiratory disease
92,flu
93,influenza virus
94,fipv
95,public health
96,lower respiratory infection
97,infectious illness
98,ct
99,venous thromboembolism
100,influenza
101,coronaviruses
102,nervous system infection
103,tb
104,secondary infection
105,respiratory syndrome coronavirus
106,covid pandemic
107,acute respiratory syndrome
108,syndrome coronavirus
109,lu
110,acute respiratory infection
111,febrile illness
112,adrenal insufficiency
113,fever
114,astrovirus
115,pulmonary infection
116,sars cov
117,acute infectious disease
118,h1n1 influenza
119,respiratory condition
120,alveolar damage
121,diffuse alveolar damage
122,me
123,cortex
124,respiratory distress syndrome
125,injury
126,respiratory illness
127,infection
128,acute respiratory disease
129,zoonotic disease
130,gb
131,influenza b
132,renal impairment
133,long
134,systemic disease
135,rna virus
136,cutaneous vasculitis
137,pulmonary inflammation
138,viral pneumonia
139,icu
140,rhinovirus infection
141,hypoxemic respiratory failure
142,fibrosis
143,aid
144,vaccine
145,clotting disorder
146,cytokine storm
147,transmissible gastroenteritis coronavirus
148,influenza pandemic
149,acute respiratory failure
150,fatigue
151,renal injury
152,asymptomatic infection
153,acute respiratory syndrome coronavirus 2
154,liver damage
155,bocavirus
156,disease caused by virus
157,ards
158,cardiovascular complication
159,pulmonary disease
160,depression
161,cancer
162,viral respiratory illness
163,hit
164,insulin resistance
165,systemic infection
166,neurologic disorder
167,pandemic disease
168,respiratory syndrome
169,direct infection
170,mouse hepatitis virus
171,respiratory viral disease
172,cardiomyopathy
173,hcw
174,coronavirus pneumonia
175,alphacoronavirus 1
176,sars coronavirus
177,urticaria
178,contagious disease
179,pandemic influenza
180,pulmonary aspergillosis
181,cns
182,lung disease
183,headache
184,nipah virus
185,h5n1 influenza
186,gastroenteritis virus
187,respiratory tract disease
188,image
189,respiratory failure
190,diabetic
191,obesity
192,granulomatous disease
193,virus associated
194,sari
195,febrile respiratory illness
196,om
197,cat
198,anosmia
199,dad
200,condition
201,rhinovirus
202,jhmv
203,gastrointestinal symptom
204,transmissible
205,influenza a
206,bovine viral diarrhea virus
207,viral hepatitis
208,common cold
209,conjunctivitis
210,rsv
211,contagious
212,renal failure
213,kidney injury
214,hypercoagulable
215,sars cov infection
216,nasal discharge
217,emerging
218,mers
219,disorder
220,viral respiratory infection
221,panic
222,enveloped virus
223,mhv
224,epidemic
225,communicable respiratory disease
226,local disease
227,he
228,skin lesion
229,respiratory virus infection
230,sars epidemic
231,inflammation
232,relapse
233,scov
234,respiratory virus
235,dic
236,diabetes
237,thromboembolism
238,stroke
239,pandemic
240,acute
241,hypoalbuminemia
242,cardiac injury
243,systemic granulomatous disease
244,severe acute respiratory syndrome coronavirus
245,severe
246,hemophagocytic syndrome
247,mental health
248,betacoronavirus
249,malaise
250,middle east respiratory syndrome coronavirus
251,bacterial infection
252,ecmo
253,olfactory dysfunction
254,type
255,hepatitis
256,major
257,respiratory infection
258,degeneration
259,human virus
260,airborne
261,kawasaki disease
262,emerging infectious disease
263,multiple organ failure
264,coagulopathies
265,lung damage
266,ground glass opacity
267,gyrovirus
268,malignancy
269,hypoxemic failure
270,anxiety
271,acute respiratory distress syndrome
272,respiratory distress
273,liver
274,adenovirus
275,infectious
276,immunopathology
277,pneumonia
278,viral
279,fatal
280,pulmonary complication
281,hemagglutinating encephalomyelitis virus
282,cov infection
283,hypoxaemia
284,betacoronaviruses
285,lymphocytopenia
286,mucosal
287,cardiac event
288,cov
289,coronavirus infection
290,ibv
291,nosocomial infection
292,acute disease
293,feline infectious peritonitis virus
294,hypercoagulable state
295,cytokine release syndrome
296,hiv
297,chronic disease
298,same
299,nose
300,vasculitis
301,clinical syndrome
302,leukopenia
303,psychological distress
304,viral disease
305,communicable disease
306,feline infectious peritonitis
307,mp
308,acute infection
309,viral infection
310,human coronavirus
311,encephalitis
312,respiratory disease
313,cdc
314,hepatitis e virus
