,triple,score
0,"['covid-19', 'disease_species', 'hypercytokinaemia']",-15.798816680908203
1,"['covid-19', 'disease_species', 'coli']",-15.94495677947998
2,"['covid-19', 'disease_species', 'zaire ebolavirus']",-15.955352783203125
3,"['covid-19', 'disease_species', 'pneumoniae']",-15.967253684997559
4,"['covid-19', 'disease_species', 'vaccine']",-16.010356903076172
5,"['covid-19', 'disease_species', 'cryptosporidiosis']",-16.117076873779297
6,"['covid-19', 'disease_species', 'bovine spongiform encephalitis']",-16.203033447265625
7,"['covid-19', 'disease_species', 'paramyxovirus']",-16.26511001586914
8,"['covid-19', 'disease_species', 'gastroenteritis']",-16.31037712097168
9,"['covid-19', 'disease_species', 'pandemic 2009 h1n1 influenza virus']",-16.320491790771484
10,"['covid-19', 'disease_species', 'astroviruses']",-16.36227798461914
11,"['covid-19', 'disease_species', 'co-infections']",-16.376394271850586
12,"['covid-19', 'disease_species', 'piv']",-16.406158447265625
13,"['covid-19', 'disease_species', 'pandemia']",-16.49213218688965
14,"['covid-19', 'disease_species', 'pasteurellosis']",-16.505016326904297
15,"['covid-19', 'disease_species', 'scrapie']",-16.536972045898438
16,"['covid-19', 'disease_species', 'coronavirus infection']",-16.586109161376953
17,"['covid-19', 'disease_species', 'flea']",-16.588157653808594
18,"['covid-19', 'disease_species', 'brucellosis']",-16.603267669677734
19,"['covid-19', 'disease_species', 'pf']",-16.609670639038086
