,triple,score,label
0,"['covid-19', 'disease_treat_procedure', 'wound']",-16.11552048,0
1,"['covid-19', 'disease_treat_procedure', 'regression']",-16.11666489,0
2,"['covid-19', 'disease_treat_procedure', 'rna']",-16.43279266,0
3,"['covid-19', 'disease_treat_procedure', 'pandemic']",-16.43894386,0
4,"['covid-19', 'disease_treat_procedure', 'recruitment']",-16.45582771,0
5,"['covid-19', 'disease_treat_procedure', 'immunosuppression']",-16.46047592,1
6,"['covid-19', 'disease_treat_procedure', 'mhv']",-16.56861115,0
7,"['covid-19', 'disease_treat_procedure', 'vaccine']",-16.57174301,0
8,"['covid-19', 'disease_treat_procedure', 'covid pandemic']",-16.60156059,0
9,"['covid-19', 'disease_treat_procedure', 'covid-19']",-16.63793182,0
10,"['critical', 'treat_procedure_disease', 'covid-19']",-15.43453598,0
11,"['blood', 'treat_procedure_disease', 'covid-19']",-15.87417412,0
12,"['ar', 'treat_procedure_disease', 'covid-19']",-16.00435829,0
13,"['ebov infection', 'treat_procedure_disease', 'covid-19']",-16.06980133,0
14,"['ear disease', 'treat_procedure_disease', 'covid-19']",-16.10678482,0
15,"['community', 'treat_procedure_disease', 'covid-19']",-16.13941956,0
16,"['regression', 'treat_procedure_disease', 'covid-19']",-16.19518471,0
17,"['2009', 'treat_procedure_disease', 'covid-19']",-16.2364769,0
18,"['ards', 'treat_procedure_disease', 'covid-19']",-16.25953293,0
19,"['lung injury', 'treat_procedure_disease', 'covid-19']",-16.31325531,0
