,query_1,label
0,protein,0
1,damage,0
2,sirna,0
3,ntd,0
4,macrodomain,0
5,protein e,1
6,rr,0
7,pattern,0
8,ace2,0
9,oc43,0
10,cathepsin l,0
11,aim,0
12,war,0
13,ga,0
14,alt,0
15,hku1,0
16,ifn,0
17,nsp15,0
18,toll,0
19,mpro,0
20,nl63,0
21,spike protein,1
22,body,0
23,antigen,0
24,lab,0
25,interferon,0
26,envelope,1
27,plpro,0
28,ccr5,0
29,nucleic acid,0
30,zbcov,0
31,cd13,0
32,class,0
33,receptor,0
34,dpp4,0
35,ttsps,0
36,12,0
37,virion,0
38,light,0
39,impact,0
40,glycoprotein,0
41,homology,0
42,n protein,1
43,ddx1,0
44,platelet,0
45,orfx,0
46,hong kong,0
47,s protein,1
48,host,0
49,antibody,0
50,plasma,0
51,papr,0
52,coronavirus e protein,1
53,nlrp3,0
54,basc,0
