,query_6
0,bocavirus
1,diarrhoea
2,cdc
3,pulmonary aspergillosis
4,dm
5,middle east respiratory syndrome
6,cardiac injury
7,image
8,cns
9,aki
10,viral infection
11,h1n1 influenza
12,hcw
13,sars coronavirus
14,gastrointestinal symptom
15,infectious disease
16,acute respiratory distress syndrome
17,stroke
18,om
19,aspergillosis
20,cat
21,myocardial injury
22,lymphopenia
23,disease
24,viral respiratory illness
25,emerging infectious disease
26,same
27,anxiety
28,diarrhea
29,gyrovirus
30,myocarditis
31,acute kidney injury
32,nipah virus
33,syndrome
34,fip
35,respiratory disease
36,respiratory syndrome
37,necrotizing encephalopathy
38,coronaviruses
39,infection
40,cancer
41,acute encephalopathy
42,inflammation
43,sars cov infection
44,granulomatous disease
45,229e
46,thrombosis
47,clinical deterioration
48,clotting disorder
49,coagulopathy
50,immunopathology
51,distress syndrome
52,ards
53,rsv
54,ibv
55,hepatic injury
56,ageing
57,icu
58,diffuse alveolar damage
59,cardiovascular complication
60,public
61,mers
62,psychological distress
63,coronavirus disease
64,respiratory virus
65,rhinovirus
66,he
67,respiratory distress syndrome
68,rna
69,seborrheic dermatitis
70,tb
71,viral respiratory disease
72,asymptomatic infection
73,renal injury
74,obesity
75,respiratory symptom
76,mental health
77,gb
78,epidemic
79,encephalopathy
80,clinical syndrome
81,feline immunodeficiency virus
82,diabetic
83,cardiovascular disease
84,epidemic disease
85,renal impairment
86,illness
87,cov
88,necrosis
89,community
90,betacoronavirus
91,cytokine release syndrome
92,bovine viral diarrhea virus
93,systemic granulomatous disease
94,cardiomyopathy
95,disorder
96,viral hemorrhagic fever
97,transmissible gastroenteritis coronavirus
98,acute covid-19ry syndrome
99,peritonitis virus
100,influenza
101,lung
102,central nervous system infection
103,shipping fever
104,2009
105,viral
106,dad
107,pe
108,bovine diarrhea virus
109,osteonecrosis
110,sars cov
111,panic
112,diabetes
113,immunodeficiency virus
114,kawasaki disease
115,urticaria
116,anosmia
117,cutaneous vasculitis
118,olfactory dysfunction
119,viral illness
120,thrombocytopenia
121,vasculitis
122,sinus node dysfunction
123,lung damage
124,miscarriage
125,pneumonia
126,public health
127,alveolar damage
128,acute respiratory infection
129,injury
130,headache
131,acute respiratory syndrome
132,lymphocytopenia
133,cold
134,respiratory tract infection
135,encephalitis
136,regression
137,ccv
138,face
139,skin lesion
140,ct
141,systemic disease
142,disease progression
143,acute necrotizing encephalopathy
144,infectious peritonitis virus
145,nervous system infection
146,dmvs
147,type
148,viral disease
149,hemorrhagic fever
150,kidney injury
151,lu
152,jhmv
153,throat infection
154,hepatitis e virus
155,virus
156,uterus
157,respiratory illness
158,cytokine storm
159,fipv
160,hypertension
161,fever
162,infectious bronchitis virus
163,retinal degeneration
164,h1n1 swine flu
165,vaccine
166,pandemic
167,degeneration
168,leukopenia
169,mhv
170,influenza a
171,nose
172,malaise
173,ali
174,feline infectious peritonitis virus
175,direct infection
176,dysfunction
