,query_6
0,fatal
1,respiratory tract infection
2,coagulopathy
3,sars epidemic
4,clotting disorder
5,viral infection
6,fever
7,respiratory illness
8,inflammation
9,systemic disease
10,psychological distress
11,hepatitis e virus
12,respiratory infectious disease
13,public
14,community
15,acute respiratory disease
16,viral respiratory illness
17,feline infectious peritonitis virus
18,ali
19,central nervous system infection
20,secondary infection
21,olfactory dysfunction
22,sars cov
23,acute respiratory syndrome coronavirus 2
24,infection
25,coronaviruses
26,lymphocytopenia
27,acute respiratory syndrome
28,virus associated
29,malignancy
30,face
31,hcw
32,viral respiratory disease
33,pandemic
34,health problem
35,lower respiratory infection
36,coronavirus outbreak
37,infectious
38,hypercoagulable state
39,covid pandemic
40,distress syndrome
41,respiratory
42,disease
43,atypical pneumonia
44,respiratory disease
45,gastroenteritis virus
46,myocarditis
47,cns
48,cov
49,infectious peritonitis virus
50,pneumonia
51,adrenal insufficiency
52,injury
53,mers
54,ibv
55,lung
56,contagious disease
57,cr
58,respiratory distress syndrome
59,enveloped virus
60,rna virus
61,contagious
62,throat infection
63,acute respiratory distress syndrome
64,neurologic disorder
65,respiratory syndrome
66,nose
67,syndrome
68,aki
69,lymphopenia
70,obesity
71,middle east respiratory syndrome
72,virus
73,sepsis
74,coronavirus infection
75,dysfunction
76,epidemic
77,type
78,transmissible
79,viral
80,respiratory infection
81,renal failure
82,hemagglutinating encephalomyelitis virus
83,respiratory distress
84,viral illness
85,disorder
86,jhmv
87,nervous system infection
88,viral disease
89,infectious disease
90,human coronavirus
91,respiratory virus infection
92,mental health
93,229e
94,zoonotic disease
95,immunopathology
96,viral pneumonia
97,tract infection
98,emerging
99,gb
100,virus disease
101,acute disease
102,peritonitis virus
103,diarrhoea
104,headache
105,icu
106,severe
107,mouse hepatitis virus
108,kobuvirus
109,mp
110,mhv
